rank	username	minecraft:dropped/minecraft:clay
1	thewindmillman	99141
2	Freak_Genius	1287
3	noam464	885
4	GlitchyPlate810	647
5	Rebytre	579
6	Di_infiri	471
7	500am	454
8	pintsizedrogue	385
9	beeperbeeper5	351
10	Kowcio_	335
11	YungMaki	299
12	Blaiku	296
13	Skylord_Luke	236
14	Segotep999	214
15	h2p_emrld	213
16	EMC_	196
17	kekhon	138
18	lillips	132
19	Hyp3rion_	120
20	Kubeusz2010	118
21	MilleGrug	75
22	PlzNoBM	50
23	Enderslayerxz3	47
24	EcksD	37
25	Jackattack53	35
26	sxc_	34
27	Kakolbus	32
28	joethahobo	31
29	TheSecondLord	30
30	Arceus1975	27
31	Frozil12	25
32	_NieToksikpl_	23
33	TheShyPig	22
34	JohnnyFyes	21
35	cichy096	18
35	2blox	18
37	HolyVenom	17
38	lcvezra	16
39	eitanzaki	15
40	MSK__	14
41	12Magner05	13
42	RobotMinion101	10
42	jnp_gaming	10
44	set67	9
44	AltnumberF4	9
46	burbankbuilder28	8
47	_Dean_123	7
47	Sky_light_KING	7
49	Masssonnn	6
49	HellsSponge	6
49	Racengan	6
49	stavgod	6
49	Steelynan	6
54	Inchef	5
54	PigDab	5
54	Invisie	5
54	stahouo	5
54	Eczbek	5
54	Sral7	5
60	boog4loo	4
60	emrekn	4
60	MangoTheFish	4
60	regulator75	4
60	Blu3beast	4
65	Mahoose	3
65	Swexti	3
65	Blackberry1310	3
65	Bumpy419	3
65	fred870d	3
65	Groundler	3
65	Legendosh	3
65	EcksDofficial	3
65	FishisTTV	3
74	ImpavidArcher	2
74	RebelAndroid	2
74	T045RTY	2
74	gcaisawesome	2
74	Chromary	2
74	NameGenerat0r	2
74	Optiprimus	2
74	SvenskaHugo	2
74	KingMatthew506	2
74	oxfordschool	2
74	MeetTheWollo	2
85	Tommhh	1
85	ShedJr_	1
85	Kamflame10	1
85	mwrty	1
85	Rumpletaezer	1
85	dartwaffle	1
85	Karbl	1
85	MAns_44	1
85	TheEnderman548	1
85	kyouma777	1
85	PortlyPete69	1
85	CalebDHawk	1
85	Quotary	1
