rank	username	minecraft:dropped/minecraft:crimson_sign
1	eitanzaki	43
2	12Magner05	42
3	AdmiralSmoke	18
4	Spacewardharpy7	17
5	noam464	14
6	beeperbeeper5	12
6	PigDab	12
8	FreakGenius	10
9	Hyp3rion_	8
10	luseis	7
11	weabis	5
11	Kowcio_	5
13	PazinGaming	4
13	BiggieDawg	4
15	k_ce	3
15	ImpavidArcher	3
15	Mahoose	3
15	Fullut	3
15	lorpus	3
15	thewindmillman	3
15	lordpipe	3
22	pintsizedrogue	2
22	Lez_	2
22	Blackberry1310	2
22	Marbz_	2
22	NomadicRobin_	2
22	EcksD	2
28	xfemboyx	1
28	_Huge_Male_	1
28	Frozil20	1
28	Historical_Sand	1
28	kekhon	1
28	Rebytre	1
28	Lord_Jord	1
28	_JoeyT_	1
28	Dakar_	1
28	NameGenerat0r	1
28	_i_ERROR_i_	1
28	PlasticOtari	1
