rank	username	minecraft:dropped/minecraft:netherite_pickaxe
1	beeperbeeper5	94
2	PlasticOtari	90
3	Spacewardharpy7	63
4	Hyp3rion_	60
5	Ezekson	58
6	Smashic	51
7	pintsizedrogue	45
8	MilleGrug	44
9	Smoke____	43
10	eitanzaki	40
11	Iamthejo	32
11	Jimb0nat0r	32
13	Blaiku	31
14	RebelAndroid	29
14	joethahobo	29
14	Rebytre	29
14	NomadicRobin_	29
14	lordpipe	29
19	RealGroot	28
20	T045RTY	27
21	Historical_Sand	26
21	noam464	26
23	Fuad_R	25
23	fffMike	25
25	Kowcio_	23
26	Lez_	22
26	kekhon	22
28	ImpavidArcher	21
28	Mattesco	21
30	Enderxz3	20
31	r123moore	19
31	PigDab	19
31	masskedman	19
31	YungMaki	19
31	gusstationwerker	19
36	Frozil20	18
36	Inchef	18
36	Jackattack53	18
39	SammiWolfGirl	17
40	thewindmillman	16
41	Wooptey	15
41	Mahoose	15
41	fw3xywashere	15
41	mihimihimihi	15
45	EMC_	14
45	Secret_Canary	14
45	Lord_Jord	14
45	KingMatthew506	14
45	Eczbek	14
45	ConnorDanky_	14
51	Akoot_	13
52	Esme_1	12
52	Huwulling	12
52	Di_infiri	12
52	Solar_Power	12
52	the__Reaper4999	12
57	_Huge_Male_	11
57	soundad	11
57	SmashingPump	11
57	Blackberry1310	11
57	TheSecondLord	11
57	zToasty69z	11
57	lizardfightclub	11
57	RoofTyler	11
57	Nycteus_	11
57	Racengan	11
57	UltraZombie	11
68	hm947	10
68	jessewegottacook	10
68	gcaisawesome	10
71	set67	9
71	CollinMH06	9
71	Werbe	9
74	teslawolf38	8
74	fade_emerge78823	8
74	MangoTheFish	8
74	luseis	8
74	UCP_TheKingK	8
74	Quotary	8
74	AltnumberF4	8
81	Cowison	7
81	bigstankyy	7
81	mwrty	7
81	Kakolbus	7
81	Winklepicker279	7
81	F_Uhre	7
81	Wowful	7
81	MyNameIsDakar	7
81	HesDemonPants	7
90	ganyuganyu	6
90	ShedJr_	6
90	ITDV	6
90	Da_Boss_Rani	6
90	XboxPanda	6
90	Chromary	6
90	_Boipl_	6
90	EveryonesUncle	6
90	GlitchyPlate810	6
90	RadarHz	6
90	2bolx_	6
101	_Virify_	5
101	Mr_Byzantine	5
101	FazeObama69	5
101	BlancoFlaco	5
101	NinjaKnifeKill	5
101	Myszoaz	5
101	SpaceGrenadier	5
101	Crowman1	5
101	Skylord_Luke	5
101	AlexxO_o	5
101	CuzIm2Kev	5
101	NameGenerat0r	5
101	monky_irl	5
101	non089	5
101	Hermanni__	5
116	RoskobiOne	4
116	diamondgolem35	4
116	MrKrabOnCoke	4
116	rarrq	4
116	MattieHD	4
116	4774	4
116	Awyrlas	4
116	pumpfonzo	4
116	FishyBoy3811	4
116	ZA07	4
116	Deathkob	4
116	HellsSponge	4
116	weabis	4
116	MAns_44	4
116	MS_Pryxx	4
116	ItsDeltaMC	4
116	SvenskaHugo	4
116	pixelviolin	4
116	djancak	4
116	tsitrawhy	4
116	CalebDHawk	4
116	CattSoup	4
116	little_dUki	4
139	Jovaphobic	3
139	PazinGaming	3
139	Merv__	3
139	gren_ben	3
139	Alteriity	3
139	CoffeeNoir	3
139	SquadMonster	3
139	NieToksikpl	3
139	CliffEmAll	3
139	500am	3
139	xxPipperDipperxx	3
139	prizm_	3
139	Zythose	3
139	ogoa	3
139	OverallConcept	3
139	ProfessorDiaper	3
139	SkateboardR6	3
139	_Ruzeeq_	3
139	Ze_BaronKrigler	3
139	obzii	3
139	ZoomieZoomie	3
139	its_lupus	3
161	HBA00_	2
161	NatalieTW	2
161	Apollo_993	2
161	_stets	2
161	Sleek_Storm_721	2
161	I_Am_Mushkin	2
161	Gemstuff	2
161	IronArshXS	2
161	titanlax	2
161	jacxhadow	2
161	BobDeBouwer1337	2
161	Jakobo1337	2
161	Nicky_H225	2
161	Sloths_Ender	2
161	UncreativeArtist	2
161	theonlymagikarp	2
161	olliebollie48	2
161	SBean737	2
161	drunkeeez	2
161	TheDankPlatypus	2
161	Marbz_	2
161	CarltheCuck	2
161	King_Pancake1	2
161	0Vyp_	2
161	Billious	2
161	Jeteight	2
161	fxiryglitch	2
161	KeruNatsema	2
161	binman420	2
