rank	username	minecraft:dropped/minecraft:chiseled_nether_bricks
1	Moofyman	14
2	BobDeBouwer1337	10
3	thewindmillman	7
4	YungMaki	4
5	Dakar_	3
6	Spacewardharpy7	2
6	AdmiralSmoke	2
8	TheBiggestFeller	1
8	noam464	1
