rank	username	minecraft:dropped/minecraft:oak_fence
1	joethahobo	962
2	noam464	545
3	gcaisawesome	393
4	Di_infiri	221
5	Freak_Genius	216
6	beeperbeeper5	196
7	eitanzaki	164
8	Frozil20	163
9	Wooptey	136
10	EMC_	128
11	lordpipe	126
12	Steelynan	125
13	Hyp3rion_	124
14	Uzbeki_John	99
15	EveryonesUncle	97
16	Blackberry1310	94
17	Zythose	85
18	PigDab	83
19	FelixPSY375	78
20	I_Am_Mushkin	67
21	Rasmanden	64
22	Malorn_Aetherius	63
23	Ezekson	59
24	TechnoNinja64	57
25	hcb238	56
26	Lord_Zacler	54
26	Blaiku	54
26	Th6masss	54
26	Nagasaki_Riku	54
30	picardred	52
30	thewindmillman	52
32	Andy__Dufresne	51
33	Cocoamallows	49
33	h2p_emrld	49
35	SUN_DREAM	48
36	ToastedGamingYT	46
37	Sky_light_KING	45
38	pintsizedrogue	44
39	Smoke____	43
40	YungJakobo	41
41	fr0stss	39
41	EfficientC52	39
41	Xclax101	39
44	Spacewardharpy7	38
44	Kowcio_	38
46	Hpdinosaur	36
46	livingdaydreams	36
46	Hiryu27	36
49	SokaOtaku	32
49	fkGrim	32
49	fffMike	32
52	Eraxa	30
53	NinjaKnifeKill	28
53	kekhon	28
53	SSytex_X	28
56	AuroraValkyrie	27
56	Bumpy419	27
56	HesDemonPants	27
59	lotarp	26
60	Smashic	25
60	groofles	25
60	Akoot_	25
60	non089	25
64	bloomkieren	24
64	jnp_gaming	24
66	PhantomsGhost_	23
66	Franco093	23
66	Kakolbus	23
66	HellsSponge	23
70	Jovaphobic	22
70	The11thDoctor	22
70	claivin	22
70	SkateboardR6	22
70	IAmTheWalrus910	22
70	ProbsNotNova	22
76	_Dean_123	21
76	xxPipperDipperxx	21
78	EcksD	20
79	Fast_Turtle	19
79	Donutt	19
79	Corbsman	19
79	selectrix	19
79	Jiminie	19
84	dopplexd	18
84	ZigzagLily43042	18
84	emrekn	18
84	loveseeker	18
88	ExtraDumb	17
88	CoffeeNoir	17
88	Skylord_Luke	17
88	Shiirazuku	17
88	Shogunite	17
88	MovingFish7	17
88	CSG_Haru	17
95	DemTechAlpha	16
95	Quaintster	16
95	krutas2000	16
98	hm947	15
98	thescout7	15
98	majlin16	15
98	Racengan	15
98	voiding_	15
103	dimondking777	14
103	Rumpletaezer	14
103	seramalen	14
103	Gryglu583	14
103	Meatlaugh	14
103	laron58	14
109	Cowison	13
109	Frxnkz	13
109	PeteO1995	13
109	AnnieBathory	13
109	privatemeekly	13
109	_Karmaa	13
109	_TCARREIRA_	13
116	soundad	12
116	Dedalus36	12
116	Stynxy	12
116	_Nuf	12
116	SellyZ	12
116	Jackattack53	12
116	burbankbuilder28	12
116	binman420	12
116	Decaying_Lotus	12
116	YungMaki	12
116	stahouo	12
116	CoryJJ	12
128	Comma__	11
128	_Bguette_	11
130	JEWISHBadenBeele	10
130	q_wq	10
130	Flores991	10
130	SyntheticSurgeon	10
130	Alteriity	10
130	Inchef	10
130	Werbe	10
130	xo_Marren_xo	10
130	mihimihimihi	10
130	HAruSAme14	10
140	Incinere	9
140	12Magner05	9
140	Megarboh	9
140	UncreativeArtist	9
140	eviltunix	9
140	benediktine1	9
140	BRRRN179	9
140	AlexxO_o	9
140	wezzzi	9
140	El_Jalapeno	9
140	silverpopcorn	9
140	Hisiste	9
140	Kyrum2169	9
140	Miko_Fullbuster	9
140	Jordan_R	9
140	Kateesaur	9
156	Harotio	8
156	Gundam_Steven	8
156	T045RTY	8
156	Lez_	8
156	Myszoaz	8
156	Ozixar	8
156	TableTim	8
156	BronkerBrum	8
156	jcool7	8
156	Njensen7	8
156	OfficerAnvil	8
156	_KuruKuru	8
156	oxfordschool	8
156	smogfrog	8
156	Spacy_Butsch123	8
156	Zoeyfortnite	8
172	TheBiggestFeller	7
172	Groovy_MoonBird	7
172	Ev0luti0nz	7
172	Killercatty78	7
172	Fullut	7
172	fade_emerge78823	7
172	ROY4LE	7
172	RobotMinion101	7
172	Dan_Scha	7
172	lizardfightclub	7
172	Wowful	7
172	chipklip	7
172	Soap_Bender	7
172	MightyWertu	7
172	Warlord324	7
172	NotMeowMix	7
172	djancak	7
172	Rainaldus	7
172	Nicserso	7
172	calamariclam_I	7
172	trexgb	7
193	Drlzyy	6
193	diamondgolem35	6
193	ivorico	6
193	TheSecondLord	6
193	leaf26	6
193	jewbacaman	6
193	Leyna3	6
193	sxc_	6
193	RodSerlingCringe	6
193	Roikdean	6
193	ogoa	6
193	masskedman	6
193	ori0le	6
193	NameGenerat0r	6
193	Jamstroxian	6
193	Kijiki	6
193	ARCTICxLORD	6
193	cichy096	6
193	vandmanden	6
212	Im_SMX	5
212	Menthas	5
212	Killswitch_RW	5
212	rarrq	5
212	Mimiir345	5
212	Scathra	5
212	intropass	5
212	SuperPooch06	5
212	Chromary	5
212	Arceus1975	5
212	andy_rex	5
212	MinerDec	5
212	TheShyPig	5
212	iHuntWeeaboos	5
212	Airem_Core	5
212	kyouma777	5
212	Dogcorn69420	5
212	Hermanni__	5
212	Skippeh	5
231	Merv__	4
231	youhjjhhhjj	4
231	Euclidoris	4
231	fullyrawfuzz	4
231	CarbonatedCola	4
231	set67	4
231	SharpDev	4
231	Paintz	4
231	nut_e	4
231	Rebytre	4
231	Onennon	4
231	KeruNatsema	4
231	Maenara	4
231	TheSeismicDuck	4
231	NYJ	4
231	rotten_mango	4
231	KermitTheKripple	4
231	SwooshBoi	4
231	Groundler	4
231	DeGodz4life	4
231	Vorlice	4
231	WyngGoy	4
231	NebulousBadger	4
231	PabloGonza02	4
231	starbits140	4
231	Soplight	4
231	SammiWolfGirl	4
231	Legendosh	4
231	2blox	4
231	Sral7	4
261	MunkaKris	3
261	Louiis123	3
261	teslawolf38	3
261	Foof13	3
261	AshleeCW	3
261	Iagoku	3
261	SaucyDark	3
261	openatheclose	3
261	Natty	3
261	Mahoose	3
261	aikabot	3
261	jacxhadow	3
261	ProfessorBee	3
261	zorin123	3
261	500am	3
261	blockgamer_69	3
261	crying_wolf_13	3
261	paranoid_plant	3
261	Karetoko	3
261	whoaluv	3
261	WET_WET_WET	3
261	Destroyer112221	3
261	Mpkkiller	3
261	epiksk8erduck	3
261	tyraxxx	3
261	Lord_Jord	3
261	NomadicRobin_	3
261	audiocracked	3
261	NoChumpChange	3
261	wobn	3
261	proxivitoid	3
261	Fuad_R	3
261	DanTheBuilderino	3
261	Blu3beast	3
261	Optiprimus	3
261	LordSpeed37	3
261	Segotep999	3
261	a_smol_bean	3
261	LeeMcGee30	3
261	Erased_Identity	3
