rank	username	minecraft:dropped/minecraft:crimson_trapdoor
1	eitanzaki	180
2	noam464	170
3	PlasticOtari	66
4	Di_infiri	60
5	FreakGenius	57
6	Smoke____	23
7	hm947	20
8	rarrq	17
9	beeperbeeper5	16
10	NomadicRobin_	12
10	SammiWolfGirl	12
12	chipklip	8
12	kekhon	8
14	Jimb0nat0r	7
15	Blaiku	6
16	thewindmillman	5
16	PigDab	5
16	zToasty69z	5
19	Mr_Byzantine	4
19	RebelAndroid	4
19	Mythic1130	4
22	ShedJr_	3
22	Hyp3rion_	3
22	Ze_BaronKrigler	3
25	_Virify_	2
25	Werbe	2
25	EveryonesUncle	2
28	12Magner05	1
28	Marbz_	1
28	weabis	1
28	Spacewardharpy7	1
28	Eraxa	1
