rank	username	minecraft:dropped/minecraft:netherrack
1	thewindmillman	155588
2	EcksD	134511
3	Enderxz3	95336
4	noam464	87270
5	Ryan_GEMS	78821
6	Winklepicker279	77286
7	NomadicRobin_	76513
8	Hyp3rion_	73474
9	Deerfoot	69208
10	Segotep999	57572
11	Kowcio_	47675
12	Spacewardharpy7	46876
13	PigDab	46484
14	PazinGaming	45178
15	eitanzaki	44413
16	Blaiku	43685
17	Di_infiri	38057
18	beeperbeeper5	35774
19	AdmiralSmoke	35223
20	joethahobo	33071
21	pintsizedrogue	30604
22	m_be9	30538
23	Fullut	30297
24	Smashic	26768
25	censorsheep	24555
26	HellsSponge	24391
27	Racengan	22338
28	thescout7	22004
29	Bumpy419	21451
30	djancak	21233
31	Manaateee	19838
32	YungMaki	19572
33	TheSecondLord	18978
34	Frozil20	17890
35	kekhon	17862
36	trexgb	17451
37	Spenduh	17191
38	Ezekson	17002
39	lordpipe	16656
40	UltraZombie	16344
41	fw3xy74	16339
42	excelsionprime	15985
43	mwrty	15827
44	500am	15726
45	RadarHz	15375
46	mihimihimihi	14711
47	HolyVenom	14471
48	SkateboardR6	14235
49	Krowuss	14213
50	FreakGenius	13529
51	NinjaKnifeKill	13503
52	NatalieTW	13440
53	gcaisawesome	13189
54	Wolf_Mauler_73	13024
55	Mahoose	12808
56	ImpavidArcher	12693
57	ITDV	12159
58	Rebytre	12043
59	Alteriity	11582
60	jnp_gaming	11524
61	Blackberry1310	11514
62	k_ce	11369
63	bloodbiter	10850
64	Chromary	10751
65	rarrq	10739
66	Wooptey	10715
67	Skylord_Luke	10673
68	Werbe	10345
69	Shogunite	10286
70	_i_ERROR_i_	9928
71	_Yonk_	9650
72	r123moore	9642
73	set67	9597
74	Cowison	9320
75	Iamthejo	9142
76	LeonelSalamanca	9027
77	jacxhadow	8983
78	EveryonesUncle	8661
79	H0UNDFRMH3LL	8646
80	Lutres_	8546
81	PortlyPete69	8482
82	BlancoFlaco	8272
83	NieToksikpl	8240
84	F_Uhre	8153
85	_Virify_	8068
86	Eraxa	7892
87	Historical_Sand	7877
88	Kakolbus	7749
89	lizardfightclub	7717
90	AuroraValkyrie	7525
91	Jackattack53	7485
92	fluddd	7348
93	Hermanni__	7295
94	EMC_	7169
95	MightyWertu	7086
96	12Magner05	7049
97	Soplight	6876
98	Skippeh	6850
99	Nicserso	6720
100	Zaridey	6687
101	h2p_emrld	6657
102	Groundler	6645
103	Kubeusz2010	6598
104	Lez_	6523
105	Njensen7	6354
106	Zythose	6254
107	Akoot_	6234
108	MirielThePastor	6222
109	ECstardust	6171
110	El_Jalapeno	6155
111	shadowthemonkey	6148
112	MilleGrug	6042
113	IdeallyGrey	6013
114	wwwwinnebagoooo	6006
115	Megarboh	5970
116	xolstoi	5956
117	TheEnderMan548	5945
118	Druid95	5908
119	CliffEmAll	5906
120	Sleek_Storm_721	5893
121	fade_emerge78823	5879
122	HesDemonPants	5867
123	AltnumberF4	5808
124	pumpfonzo	5684
125	DarlaMeow	5669
126	Da_Boss_Rani	5656
127	yheece	5631
128	T045RTY	5598
129	vandmanden	5580
130	remmisrat	5509
131	Hisiste	5467
132	Luigipunch989	5395
133	ganyuganyu	5303
134	bigstankyy	5197
135	SvenskaAlvar	5105
136	monky_irl	5064
137	zToasty69z	5047
138	Merv__	5024
139	Groovy_MoonBird	5023
140	PhantomsGhost_	4995
141	07shiny	4978
142	Kekoo	4957
143	livingdaydreams	4934
144	Nycteus_	4836
145	Touched_Bread	4809
146	PlasticOtari	4805
147	jushykins	4800
148	Cocoamallows	4741
149	LazySupport00	4724
150	RebelAndroid	4628
150	Deathkob	4628
152	RoBe__	4619
153	Jimb0nat0r	4607
154	ShedJr_	4562
154	Onennon	4562
156	DarkS0L	4555
157	Kura2218	4552
158	301851	4537
159	Eczbek	4530
160	Eczbox	4527
161	hm947	4488
162	LeEricc	4469
163	M_Patata	4421
163	MasterNueve	4421
