rank	username	minecraft:dropped/minecraft:acacia_planks
1	Spacewardharpy7	25504
2	Spenduh	1539
3	eitanzaki	1190
4	beeperbeeper5	444
5	ApophisNova	384
5	MyNamaSheff	384
7	Smoke____	339
8	thgrocks	272
9	EcksD	172
10	ThePoliteG	158
11	r123moore	146
12	noam464	145
13	PojkenJesper	128
14	Moofyman	123
15	Frozil20	115
15	Moetis	115
17	NameGenerat0r	107
18	Werbe	104
19	YungMaki	91
20	Groovy_MoonBird	84
21	Onennon	83
22	TastyPorkchop	81
22	Blackberry1310	81
24	Franco093	79
25	Lez_	78
26	Babushka0430	76
27	EveryonesUncle	75
27	Meatlaugh	75
29	lordpipe	71
30	PigDab	69
31	fade_emerge78823	66
31	Shogunite	66
31	Groundler	66
34	egglapras	65
34	DeGodz4life	65
36	King_Pancake1	64
37	mariominejedi	63
38	TechnoNinja64	62
39	kekhon	61
40	fluddd	60
41	Mahoose	57
42	Quaintster	54
43	Hiryu27	53
43	Segotep999	53
45	Ajax6	50
46	_3Stump_	49
47	beeleg	48
48	Freak_Genius	44
49	KingMatthew506	42
50	Eraxa	41
50	MeetTheWollo	41
52	Merv__	39
53	cichy096	37
54	masskedman	36
55	jewbacaman	34
56	T045RTY	32
56	mwrty	32
56	SwooshBoi	32
56	stahouo	32
60	Drlzyy	30
61	diamondgolem35	28
62	Jackattack53	27
63	Doom_melon	26
64	Wooptey	25
65	lillips	24
65	__tomato	24
67	pintsizedrogue	23
68	Hoid_the_Roamer	22
69	Di_infiri	21
69	Russiancat1	21
71	Batman922	20
71	Blu3beast	20
71	Soplight	20
74	WET_WET_WET	19
74	bean__salad	19
74	IAmTheWalrus910	19
77	KingEgg1	18
77	_Karmaa	18
77	Steelynan	18
80	Powowowow	17
81	Vizzoid	16
81	loveseeker	16
81	WyngGoy	16
81	oxfordschool	16
85	Wowful	15
85	Seindi	15
87	stavgod	14
87	HAruSAme14	14
87	JayToe	14
90	ImpavidArcher	13
90	Euclidoris	13
92	Rich_Kat	12
92	thewindmillman	12
92	fw3xywashere	12
92	yulgur1	12
92	gustarbite	12
97	smogfrog	11
97	Sral7	11
99	SDW_Insanity	10
99	DiscardedCE	10
99	Ilinca_Io	10
102	Rebytre	9
103	Fullut	8
103	slkiey	8
103	The11thDoctor	8
103	chipklip	8
103	claivin	8
103	Racengan	8
103	Juh1s	8
103	Enderslayerxz3	8
111	thescout7	7
111	John6970	7
111	Skylord_Luke	7
111	Blaiku	7
111	layabout100	7
111	h2p_emrld	7
117	Incinere	6
117	TylerDupree	6
117	HolyVenom	6
117	AssFullaCum	6
121	MrKrabOnCoke	5
121	CollinMH06	5
121	AnnieBathory	5
121	fkGrim	5
121	HellsSponge	5
121	jcool7	5
121	LeeMcGee30	5
121	MilleGrug	5
121	Vellu21	5
121	AltnumberF4	5
121	EcksDofficial	5
132	PhantomsGhost_	4
132	abramgray	4
132	Hpdinosaur	4
132	Prismyst	4
132	Auseawesome	4
132	jiggywraps	4
132	500am	4
132	Smashic	4
132	eiC_	4
132	CranialBlowout	4
132	Bumpy419	4
132	wrinkledpiglet	4
132	RodSerlingCringe	4
132	AlphaWolfPlaysMC	4
132	TheSeismicDuck	4
132	audiocracked	4
132	RedcatVII	4
132	_czarny	4
132	JoCoLi	4
132	SkateboardR6	4
132	Ze_BaronKrigler	4
132	CACTUSLAD	4
132	DennyKai	4
132	Dreamdbr14	4
132	Njensen7	4
132	potatocan	4
132	Goat_Man512	4
159	Elprone266	3
159	_Razar	3
159	Malorn_Aetherius	3
159	corvidpartyfor6	3
159	ImDisconnected_	3
159	SuperPooch06	3
159	ooga47	3
159	MeanTugger	3
159	lizardfightclub	3
159	NomadicRobin_	3
159	Jiminbub	3
159	YungWali	3
159	censorsheep	3
159	MovingFish7	3
159	KG1999	3
159	UCP_TheKingK	3
159	RealDelver	3
159	PortlyPete69	3
159	UltraZombie	3
159	Ir0npack	3
159	Ezekson	3
159	kinas45y5	3
181	KingFaenor	2
181	youhjjhhhjj	2
181	Rox_The_Box	2
181	peach0s	2
181	Swexti	2
181	TheSecondLord	2
181	lilsay	2
181	Kkanot	2
181	Irko	2
181	ChillenChiggen	2
181	kars0n	2
181	_naturell	2
181	binman420	2
181	Inbefour	2
181	MyNameIsDakar	2
181	Factoroni	2
181	ItsDeltaMC	2
181	mawileite	2
181	jnp_gaming	2
200	Froste131	1
200	KarlKaek	1
200	BodaciousCake	1
200	nocturne78	1
200	rarrq	1
200	Khelvoryk	1
200	SDMNAEK	1
200	jushykins	1
200	GingerNeutron	1
200	blockgamer_69	1
200	boog4loo	1
200	Master_Kol	1
200	gcaisawesome	1
200	benediktine1	1
200	mimbo1211	1
200	NotSoJamie	1
200	yaboo88	1
200	Hyp3rion_	1
200	xo_Marren_xo	1
200	Akoot_	1
200	Jiminie	1
200	Fuad_R	1
200	geekbird	1
200	Soul_Atreus	1
200	voiding_	1
200	starbits140	1
200	SammiWolfGirl	1
200	a_smol_bean	1
200	fffMike	1
200	vandmanden	1
200	561cool	1
