rank	username	minecraft:dropped/minecraft:brown_stained_glass_pane
1	diamondgolem35	1761
2	miramyu	110
3	_Virify_	54
4	Lez_	18
5	beeperbeeper5	14
6	SullyhS	8
7	robertsnose	3
8	MattieHD	2
9	cuddlyMonster	1
