rank	username	minecraft:dropped/minecraft:birch_boat
1	Blu3beast	211
2	beeperbeeper5	89
3	Hyp3rion_	54
4	AdmiralSmoke	52
5	eitanzaki	42
5	Euclidoris	42
7	kekhon	31
8	lordpipe	30
9	noam464	29
9	Jackattack53	29
11	Di_infiri	28
11	thewindmillman	28
13	EMC_	26
14	EcksD	25
15	Blackberry1310	22
15	HellsSponge	22
17	Mahoose	21
17	luseis	21
19	Jimb0nat0r	19
20	alucarrdd	18
20	Kowcio_	18
22	k_ce	17
22	groofles	17
22	Blaiku	17
22	Spacewardharpy7	17
26	Merv__	16
26	ROY4LE	16
28	Eraxa	15
29	PazinGaming	13
29	FreakGenius	13
31	Mr_Byzantine	12
31	SteveCraftBlocks	12
31	FishisTTV	12
34	TheSecondLord	11
34	EveryonesUncle	11
34	Manaateee	11
34	TechnoNinja64	11
38	gren_ben	10
38	Soplight	10
40	Werbe	9
40	Wowful	9
40	weabis	9
40	Ezekson	9
44	pintsizedrogue	8
44	Fullut	8
44	Mattesco	8
44	SammiWolfGirl	8
48	T045RTY	7
48	ShedJr_	7
48	rarrq	7
48	Kakolbus	7
48	PigDab	7
48	Racengan	7
54	joethahobo	6
54	Akoot_	6
54	Tyrannosplart	6
54	Spenduh	6
54	HesDemonPants	6
54	skrongus	6
54	Zoeyfortnite	6
61	PhantomsGhost_	5
61	ImpavidArcher	5
61	Alteriity	5
61	mwrty	5
61	thescout7	5
61	Rumpletaezer	5
61	F_Uhre	5
61	shrimp_flips	5
61	stavgod	5
61	Segotep999	5
61	PortlyPete69	5
61	amkold	5
61	Nicserso	5
74	Incinere	4
74	Lez_	4
74	Sleepy_Time_	4
74	Alfred603	4
74	_Dean_123	4
74	Awyrlas	4
74	xxPipperDipperxx	4
74	GOOBERGABE04	4
74	Krowuss	4
74	iElijah	4
74	AlexxO_o	4
74	LeonelSalamanca	4
74	monky_irl	4
74	ediballbearings	4
74	CalebDHawk	4
74	jcool7	4
90	Froste131	3
90	dudcreeper	3
90	BPTY4618	3
90	Frozil20	3
90	Huwulling	3
90	Auseawesome	3
90	m_be9	3
90	_Nuf	3
90	Smashic	3
90	Pineapplesugr	3
90	Xalithia	3
90	k1ngGilgamesh	3
90	Onennon	3
90	HyperCave	3
90	MousePlays	3
90	ougstur	3
90	IamCL4SSY	3
90	gustarlep	3
90	NameGenerat0r	3
90	Razzgriz	3
90	Kura2218	3
90	YungMaki	3
90	UltraZombie	3
90	alderban107	3
90	Skippeh	3
90	Sral7	3
90	Jordan_R	3
90	diggydog67	3
118	Jovaphobic	2
118	Apollo_993	2
118	fanofbands101	2
118	SmashingPump	2
118	ECstardust	2
118	I_Am_Mushkin	2
118	bigstankyy	2
118	itburb	2
118	SaucyDark	2
118	TooManyDuck	2
118	Hpdinosaur	2
118	lorywithay	2
118	MoistMicrowave	2
118	_themselves	2
118	Historical_Sand	2
118	gaziter10	2
118	Swexti	2
118	heckface	2
118	dopplexd	2
118	SqltedWolfie	2
118	bloodbiter	2
118	samtrid	2
118	set67	2
118	Dali1465	2
118	_Magdo_	2
118	orxngejuice	2
118	r123moore	2
118	TheDankPlatypus	2
118	CollinMH06	2
118	JajaKings	2
118	BB_Butcher	2
118	AmbroseForLife	2
118	hanaryheatwave	2
118	Arceus1975	2
118	_Boipl_	2
118	Rebytre	2
118	Hiryu27	2
118	Skylord_Luke	2
118	ApophisNova	2
118	TheWildMateo	2
118	The11thDoctor	2
118	The_Cruncy	2
118	Elastiq	2
118	AlphaWolfPlaysMC	2
118	JoeSaysBingBong	2
118	DarlaMeow	2
118	Fuad_R	2
118	The_slideV3	2
118	Shogunite	2
118	ewpunk	2
118	Quaintster	2
118	501g	2
118	RedcatVII	2
118	TheImperial	2
118	Groundler	2
118	sleep444	2
118	MovingFish7	2
118	TheTommyGun63	2
118	IAmTheWalrus910	2
118	MakeHistory157	2
118	33sudo	2
118	IdeallyGrey	2
118	SSytex_X	2
118	Fizznut909	2
118	lcvezra	2
118	ProbsNotNova	2
118	Sheldor097	2
118	LeeMcGee30	2
118	Njensen7	2
118	Kubeusz2010	2
118	ConnorDanky_	2
118	MyNamaSheff	2
118	QueenOfDirt	2
118	jnp_gaming	2
118	Powowowow	2
118	xolstoi	2
194	ItsGrayWolf	1
194	H0UNDFRMH3LL	1
194	Groovy_MoonBird	1
194	CLG_Kata	1
194	chipklip	1
194	MixerDixer	1
194	Ev0luti0nz	1
194	KingFaenor	1
194	Tommhh	1
194	chimpmunker	1
194	Wolf_Mauler_73	1
194	xXTheWolfmanXx	1
194	Creativebuilder2	1
194	Slinkyy7071	1
194	Saltymart	1
194	hm947	1
194	MogusBussy69	1
194	RebelAndroid	1
194	Ryker	1
194	_R_y__a_n_	1
194	imthatpikachu	1
194	SyntheticSurgeon	1
194	tacobellbeans	1
194	ZaneABrain	1
194	TAKrules	1
194	Archsam	1
194	luckyhitter	1
194	kaziroki	1
194	oreee	1
194	District1_Bot	1
194	uhm__okay	1
194	moertymoertan	1
194	irregularshed	1
194	Koffeeinz	1
194	cheerytomato	1
194	Presisor	1
194	lunathelemon	1
194	ItsHydroMC	1
194	Ascl3p1us	1
194	12Magner05	1
194	MrExplorer	1
194	AdvertisingMerc	1
194	rpmm	1
194	Secret_Canary	1
194	poopybh	1
194	500am	1
194	slkiey	1
194	Lor1113	1
194	Kkanot	1
194	Kamflame10	1
194	fweddy	1
194	UncreativeArtist	1
194	paranoid_plant	1
194	Laykon	1
194	himak1	1
194	Inchef	1
194	eviltunix	1
194	Patwannabegamer	1
194	hcb238	1
194	gcaisawesome	1
194	HoltGrim	1
194	mimbo1211	1
194	M_Patata	1
194	trixterrx	1
194	Winklepicker279	1
194	__Fanda__	1
194	Norrhede	1
194	AJplaysMC_	1
194	Snowflowe	1
194	Zythose	1
194	AnnieBathory	1
194	Reneedium	1
194	SPKB1	1
194	ItsMrRamen	1
194	Hoid_the_Roamer	1
194	SonicRainBow_	1
194	Muffindrake	1
194	Chrisdeadeye	1
194	DeeDeeThonk	1
194	epiksk8erduck	1
194	StormPool	1
194	Mr_Sun15	1
194	BRRRN179	1
194	fxiryglitch	1
194	sammidk	1
194	Arcticwyn	1
194	lizardfightclub	1
194	Luminad3	1
194	Rasmanden	1
194	Maenara	1
194	ADEXTV	1
194	parodypatient	1
194	fw3xy74	1
194	Gab4101	1
194	NomadicRobin_	1
194	Inbefour	1
194	Lord_Zacler	1
194	duqboy	1
194	TruestTurnip	1
194	NoChumpChange	1
194	fkGrim	1
194	sufjanlover	1
