rank	username	minecraft:dropped/minecraft:cooked_mutton
1	Blackberry1310	579
2	kekhon	297
3	monky_irl	127
4	Kakolbus	113
5	eitanzaki	92
6	Kowcio_	90
7	KingMatthew506	88
8	Mahoose	84
9	RealGroot	80
10	hanaryheatwave	78
11	Frozil20	77
12	Akoot_	74
12	Lord_Jord	74
14	500am	70
15	SaucyDark	67
16	Wolverine4302	63
17	burbankbuilder28	60
18	binman420	58
19	Tyrannosplart	55
20	Smussa	51
21	Moofyman	47
21	lordpipe	47
23	EveryonesUncle	46
24	PhantomsGhost_	45
25	T045RTY	44
25	Hyp3rion_	44
27	beeperbeeper5	42
27	Di_infiri	42
27	ConnorDanky_	42
30	groofles	40
31	_Virify_	38
31	TooManyDuck	38
31	fluddd	38
34	Luigipunch989	37
35	Blu3beast	35
35	Spacewardharpy7	35
37	RedcatVII	33
38	H72l9w	32
38	El_Jalapeno	32
40	FreakGenius	31
40	YungMaki	31
42	trixterrx	28
42	Blaiku	28
44	geekbird	27
45	FishisTTV	26
46	Tjhodskins19	25
46	legal_tax_evader	25
48	hm947	23
49	MOSS000	22
49	ImDisconnected_	22
49	gabriels543	22
52	claivin	21
53	Whalezz	19
53	_Razaria	19
55	lorpus	18
55	pappaberg	18
55	EcksD	18
58	mwrty	17
58	thescout7	17
58	The11thDoctor	17
58	luseis	17
62	5hit455	16
62	TheSecondLord	16
62	MinerDec	16
62	AlphaWolfPlaysMC	16
62	djancak	16
67	Alteriity	15
67	joethahobo	15
67	babyjimmyneutron	15
70	mimbo1211	14
70	whoaluv	14
70	Hiryu27	14
70	GooseWithin	14
70	LeEricc	14
75	set67	13
75	DC_XII	13
75	NomadicRobin_	13
75	bloomkieren	13
75	xzvu	13
75	jcool7	13
75	jnp_gaming	13
75	WYFYoyo	13
83	intropass	12
83	thewindmillman	12
83	yulgur1	12
83	Majonezzon	12
83	Kyrum2169	12
83	Rainaldus	12
83	HesDemonPants	12
90	Winklepicker279	11
90	ApophisNova	11
90	MyNamaSheff	11
93	RebelAndroid	10
93	ivorico	10
93	BlueZabu	10
93	ayamefag	10
93	gusstationwerker	10
93	Hermanni__	10
93	Vellu21	10
93	smogfrog	10
101	tsohomie	9
101	_Dean_123	9
101	3_Solar_3	9
101	Toriankel	9
105	Groovy_MoonBird	8
105	gren_ben	8
105	Chromary	8
105	Shin69	8
109	duelcard	7
109	BPTY4618	7
109	EMC_	7
109	BlancoFlaco	7
109	Yirtle	7
109	TheDankPlatypus	7
109	Skylord_Luke	7
109	FishyBoy3811	7
109	Wowful	7
109	Lord_Zacler	7
109	TheEnderMan548	7
120	_Minnty_	6
120	emrekn	6
120	Septemb3r	6
120	Pootis11	6
120	Fuad_R	6
120	_Karmaa	6
120	iSammael	6
120	mobunni	6
128	Deu_Stew	5
128	I_Am_Mushkin	5
128	MrKrabOnCoke	5
128	Scathra	5
128	BigMoneyH	5
128	Rebytre	5
128	zToasty69z	5
128	masskedman	5
128	Vorlice	5
128	realSkullFace	5
128	Jimb0nat0r	5
139	k_ce	4
139	ECstardust	4
139	ImpavidArcher	4
139	Reamdin	4
139	Fullut	4
139	fade_emerge78823	4
139	LavenderBi1ch	4
139	ARandomHedge	4
139	Ecplosive	4
139	LeGold	4
139	DTwenty	4
139	Soap_Bender	4
139	Xclax101	4
139	LazySupport00	4
139	ElectricDragon81	4
139	brofrickcheaters	4
139	UltraZombie	4
139	Kubeusz2010	4
139	anbbang	4
139	Haadrada	4
159	seanitoo	3
159	Jorrdi	3
159	PazinGaming	3
159	SmashingPump	3
159	q_wq	3
159	Valoth	3
159	cubecutter124	3
159	Cidah	3
159	xxPipperDipperxx	3
159	Jackattack53	3
159	TheShyPig	3
159	fw3xywashere	3
159	ChampBoii	3
159	Tiktola01	3
159	CuzIm2Kev	3
159	Shogunite	3
159	OffWithTheirHead	3
159	ProfessorDiaper	3
159	Kura2218	3
159	Eraxa	3
159	ProbsNotNova	3
159	Deguns123	3
159	Njensen7	3
159	alderban107	3
159	Dr0xzy	3
159	tartanboy	3
159	Skippeh	3
159	Enderxz3	3
159	bladeefan2009	3
188	pintsizedrogue	2
188	teslawolf38	2
188	Flores991	2
188	HazenBlazin	2
188	PhantomBionic	2
188	gaziter10	2
188	Da_Boss_Rani	2
188	Prodiginus	2
188	Guillemet	2
188	Z3braYTIL	2
188	IforgotCS_Source	2
188	2Stout	2
188	drunkeeez	2
188	shadowthemonkey	2
188	CollinMH06	2
188	SuperPooch06	2
188	CranialBlowout	2
188	0Vyp_	2
188	MangoTheFish	2
188	Voxin2K	2
188	Werbe	2
188	_Cloverbelle_	2
188	Mr_Sun15	2
188	PigDab	2
188	J4ko8_	2
188	BunkeredTree	2
188	ougstur	2
188	gustarlep	2
188	SpouHn	2
188	lillips	2
188	YungWali	2
