rank	username	minecraft:dropped/minecraft:nether_brick_slab
1	EcksD	1864
2	beeperbeeper5	604
3	Hyp3rion_	373
4	noam464	195
5	FreakGenius	192
6	KliBeast21	126
7	doublemaki	120
8	Sral7	113
9	RaZer17	95
10	Frozil20	83
11	k_ce	72
12	EveryonesUncle	63
13	PigDab	60
14	livingdaydreams	51
15	taengoos	42
16	yulgur1	39
17	eitanzaki	35
18	Kowcio_	29
19	Werbe	25
20	BobDeBouwer1337	23
21	RobotMinion101	22
22	Saucepeh	19
23	PortlyPete69	18
24	Lez_	17
25	stellarjay	15
26	Blackberry1310	13
27	Gregward_Smith	12
28	Blu3beast	9
29	Di_infiri	8
29	TheWickedBird	8
31	Merv__	7
31	jcool7	7
33	ImpavidArcher	6
33	Zedducius	6
35	obzii	5
35	TechnoNinja64	5
37	MattieHD	4
38	pintsizedrogue	3
38	MyNameIsJobo	3
38	stavgod	3
38	TheEnderMan548	3
42	TheBiggestFeller	2
42	TheSecondLord	2
42	Jackattack53	2
42	Chromary	2
42	thewindmillman	2
42	Lord_Jord	2
42	RedcatVII	2
42	Iamthejo	2
50	joethahobo	1
50	_Nuf	1
50	500am	1
50	Rumpletaezer	1
50	Rebytre	1
50	HellsSponge	1
50	lordpipe	1
50	Sheldor097	1
50	Yamdalorian	1
