rank	username	minecraft:dropped/minecraft:tropical_fish
229	Norrhede	1
229	Rumpletaezer	1
229	obzkon	1
229	2extreeme	1
229	domagawha	1
229	JETrotter	1
229	Skylord_Luke	1
229	Felenov	1
229	Voxin2K	1
229	Werbe	1
229	Kynigito	1
229	epiksk8erduck	1
229	Niterux	1
229	Samificator	1
229	Luminad3	1
229	Leyna3	1
