rank	username	minecraft:dropped/minecraft:blue_banner
1	SteveCraftBlocks	117
2	beeperbeeper5	86
3	500am	51
4	YungMaki	18
5	pintsizedrogue	14
6	Mattesco	11
7	Blackberry1310	10
8	Mahoose	8
8	ConnorDanky_	8
10	joethahobo	7
11	Soplight	6
11	Ezekson	6
13	eitanzaki	5
13	luseis	5
13	Xclax101	5
13	Spacewardharpy7	5
17	hm947	4
17	AdmiralSmoke	4
19	TheSecondLord	3
19	lillips	3
19	carbo_bro	3
19	Jimb0nat0r	3
23	ShedJr_	2
23	Lez_	2
23	bloodbiter	2
23	Di_infiri	2
23	lordpipe	2
23	Kowcio_	2
23	alderban107	2
30	PazinGaming	1
30	ECstardust	1
30	Frozil20	1
30	Hpdinosaur	1
30	Huwulling	1
30	Prismyst	1
30	NieToksikpl	1
30	kekhon	1
30	_Dean_123	1
30	fade_emerge78823	1
30	Inchef	1
30	noam464	1
30	Jackattack53	1
30	Snowflowe	1
30	burbankbuilder28	1
30	Rebytre	1
30	Skylord_Luke	1
30	ApophisNova	1
30	fw3xy74	1
30	HellsSponge	1
30	Blaiku	1
30	Racengan	1
30	MyNamaSheff	1
30	FelixPSY375	1
30	PlasticOtari	1
