rank	username	minecraft:dropped/minecraft:pufferfish
1	thewindmillman	18255
2	Racengan	2062
3	WyngGoy	1522
4	Fullut	795
5	Bumpy419	736
6	LordSpeed37	522
7	Bandito_Roamer	487
8	wTXop	400
9	Kyrum2169	255
10	Megarboh	240
11	ImpavidArcher	220
12	Hyp3rion_	218
13	Vizzoid	201
14	NameGenerat0r	171
15	ayamefag	149
16	__tomato	126
17	Blaiku	103
18	ediballbearings	100
19	kekhon	84
20	oxfordschool	83
20	Zoeyfortnite	83
22	QueenShuvi	78
23	eitanzaki	77
24	Jackattack53	70
25	Mahoose	69
26	Freak_Genius	68
26	h2p_emrld	68
28	T045RTY	64
28	k1ngGilgamesh	64
28	censorsheep	64
28	33sudo	64
32	_Nuf	61
33	masskedman	54
33	lillips	54
35	gcaisawesome	53
35	__Auspicious	53
37	Ezekson	49
38	DirtyBoar	48
39	RebelAndroid	41
40	Spacewardharpy7	40
41	joethahobo	39
41	KingMatthew506	39
43	Donutt	36
44	Steelynan	32
45	Smashic	30
46	MovingFish7	29
47	noam464	28
48	beeperbeeper5	27
49	Blackberry1310	24
49	JESS_THE_RERE	24
51	Xalithia	23
52	Frozil20	22
52	UncreativeArtist	22
52	Smoke____	22
55	rarrq	21
56	Froste131	20
57	Skippeh	19
57	TechnoNinja64	19
59	Blu3beast	18
59	jcool7	18
61	HellsSponge	17
61	Soplight	17
63	CollinMH06	16
64	Vellu21	15
65	pZygh0st	14
65	1442	14
65	CalebDHawk	14
68	titanlax	13
68	SammiWolfGirl	13
70	12Magner05	12
70	Ardennes	12
70	chipklip	12
70	stavgod	12
70	YungMaki	12
75	seanitoo	11
75	thescout7	11
75	RobotMinion101	11
78	Incinere	10
79	mimbo1211	9
79	Kakolbus	9
79	Zythose	9
79	ooga47	9
83	Wooptey	8
83	Alteriity	8
83	EveryonesUncle	8
83	Groundler	8
83	Leithz6	8
88	Snowflowe	7
88	burbankbuilder28	7
88	Werbe	7
88	fred870d	7
88	Akoot_	7
88	fluddd	7
94	gaziter10	6
94	Nicky_H225	6
94	DarlaMeow	6
94	Spenduh	6
94	PlasticOtari	6
99	Paleshield	5
99	SteveCraftBlocks	5
99	LeauVox4921	5
99	pumpfonzo	5
99	Chromary	5
99	ApophisNova	5
99	Poppy235	5
99	MyNamaSheff	5
107	bigstankyy	4
107	Batman922	4
107	tramizu	4
107	MinttyFressh	4
107	TheDiamondCG	4
107	mwrty	4
107	Motsaro	4
107	emrekn	4
107	Jiminie	4
107	majlin16	4
107	Strangemonkey71	4
107	Kukkelikuk	4
107	IdeallyGrey	4
107	Zetsey	4
107	stahouo	4
107	monolu	4
107	jnp_gaming	4
124	BodaciousCake	3
124	H72l9w	3
124	jacxhadow	3
124	Kkanot	3
124	Nach0Bear	3
124	Covalents	3
124	Paintz	3
124	RustyKedel	3
124	Ecplosive	3
124	loveseeker	3
124	fr_ser	3
124	Di_infiri	3
124	SuperPooch06	3
124	_Boipl_	3
124	PigDab	3
124	AlexxO_o	3
124	FishyBoy3811	3
124	Jiminbub	3
124	Eraxa	3
124	obzii	3
124	Nargotah	3
124	EcksD	3
124	imaginek1d	3
124	EcksDofficial	3
124	calamariclam_I	3
149	pintsizedrogue	2
149	dudcreeper	2
149	DepressedCubic	2
149	I_Am_Mushkin	2
149	hm947	2
149	MOSS000	2
149	MrKrabOnCoke	2
149	heckface	2
149	Euclidoris	2
149	Ozixar	2
149	m_be9	2
149	lordsaladito	2
149	500am	2
149	Gingayy	2
149	xxPipperDipperxx	2
149	Arsinic7	2
149	SokaOtaku	2
149	shockdocta	2
149	SonicRainBow_	2
149	The11thDoctor	2
149	Onennon	2
149	CarryLine	2
149	Rasmanden	2
149	RodSerlingCringe	2
149	master9067	2
149	Xclax101	2
149	lcvezra	2
149	_TCARREIRA_	2
149	Luigipunch989	2
149	LeeMcGee30	2
149	EngagedGrub41	2
149	Cheez1	2
149	Enderslayerxz3	2
182	PhantomsGhost_	1
182	MayorEden	1
182	soundad	1
182	AuroraValkyrie	1
182	SlowMoNinja1994	1
182	EMC_	1
182	Wolf_Mauler_73	1
182	diamondgolem35	1
182	EkkoTraveler	1
182	Tolhart	1
182	Furiuosbeast0404	1
182	livingdaydreams	1
182	Jackster03	1
182	brandonjames_h	1
182	Myszoaz	1
182	SteveWithClout	1
182	Swexti	1
182	Da_Boss_Rani	1
182	picardred	1
182	Upstro10	1
182	Malorn_Aetherius	1
182	Comma__	1
182	ThePoliteG	1
182	ProfessorBee	1
182	_Dean_123	1
182	KGTV	1
182	2Stout	1
182	eiC_	1
182	gabriels543	1
182	MyNameIsJobo	1
182	Queen_Jalapeno	1
182	Arceus1975	1
182	RyuNeko932000	1
182	Rebytre	1
182	iElijah	1
182	BRRRN179	1
182	TheShyPig	1
182	aec9	1
182	XeroByMyth	1
182	_naturell	1
182	LilLizardWizard	1
182	Lord_Jord	1
182	OLookItsAnxiety	1
182	Wowful	1
182	NomadicRobin_	1
182	Inbefour	1
182	SpouHn	1
182	jambvds	1
182	Toiton	1
182	HELLO_I_AM_BEAR	1
182	claivin	1
182	_ritter	1
182	geekbird	1
182	rejenita	1
182	TheEnderman548	1
182	voiding_	1
182	LilcoinXX	1
182	CACTUSLAD	1
182	somegirl12_	1
182	djancak	1
182	Nekomin0	1
182	PortlyPete69	1
182	PlzNoBM	1
182	DennyKai	1
182	erkada	1
182	TheOuterCore	1
182	anbbang	1
182	Nicserso	1
182	mountaingirl311	1
182	HesDemonPants	1
182	2blox	1
182	YoshikageBites	1
