rank	username	minecraft:dropped/minecraft:polished_granite_stairs
1	beeperbeeper5	107
2	Onennon	88
3	Kakolbus	82
4	paranoid_plant	64
5	PigDab	46
6	Steelynan	34
7	AdmiralSmoke	31
8	kekhon	28
9	Mr_Byzantine	27
10	lordpipe	18
11	Ezekson	17
12	bloodbiter	14
13	TheThomas69	12
13	_Karmaa	12
15	TechnoNinja64	11
16	thescout7	8
16	NNikitas	8
18	Tyrannosplart	6
19	CalebDHawk	5
19	MadmanRaven	5
21	ThePoliteG	4
21	DarlaMeow	4
23	Touched_Bread	3
24	Cryptacity	2
24	MyNameIsJobo	2
24	Jackattack53	2
27	MoistMicrowave	1
27	r123moore	1
27	groofles	1
27	NomadicRobin_	1
27	Groundler	1
27	stellarjay	1
