rank	username	minecraft:dropped/minecraft:pink_stained_glass_pane
1	lordpipe	52
2	SaucyDark	32
3	SullyhS	25
4	Blaiku	11
5	PigDab	10
6	NomadicRobin_	6
7	pintsizedrogue	4
7	Apollo_993	4
9	Groovy_MoonBird	1
9	jushykins	1
9	Enderxz3	1
