rank	username	minecraft:dropped/minecraft:shield
170	Majonezzon	1
170	Eraxa	1
170	rejenita	1
170	Mythic1130	1
170	hdtpm	1
170	MineMaster0012	1
170	EtherealEspresso	1
170	Bawbman	1
170	tsitrawhy	1
170	Chuglyfe	1
170	c0la_c0ca	1
