rank	username	minecraft:dropped/minecraft:chainmail_chestplate
1	beeperbeeper5	35
2	joethahobo	29
3	pixelviolin	21
4	Smashic	19
4	thewindmillman	19
6	luseis	18
7	RebelAndroid	17
7	Skylord_Luke	17
9	excelsionprime	14
10	diamondgolem35	12
11	SmashingPump	10
12	pintsizedrogue	9
12	CoffeeNoir	9
12	Di_infiri	9
12	StinkyDiplomat	9
16	TheSecondLord	7
16	PigDab	7
16	censorsheep	7
19	SquadMonster	6
19	Blackberry1310	6
19	Hyp3rion_	6
19	Deerfoot	6
19	Spacewardharpy7	6
19	stavgod	6
25	Chromary	5
25	Arceus1975	5
25	Rebytre	5
28	mwrty	4
28	Tyrannosplart	4
28	Eraxa	4
28	Segotep999	4
28	Luigipunch989	4
28	AdmiralSmoke	4
34	Merv__	3
34	Gundam_Steven	3
34	T045RTY	3
34	500am	3
34	noam464	3
34	CollinMH06	3
34	monky_irl	3
34	NiveauSubmarine	3
34	Kowcio_	3
34	Fizznut909	3
34	LeeMcGee30	3
34	Enderxz3	3
46	NatalieTW	2
46	Frozil20	2
46	eitanzaki	2
46	Historical_Sand	2
46	Swexti	2
46	rarrq	2
46	12Magner05	2
46	Fullut	2
46	set67	2
46	emrekn	2
46	Inchef	2
46	Septemb3r	2
46	Diavri	2
46	Kakolbus	2
46	Winklepicker279	2
46	Doom_melon	2
46	ougstur	2
46	SaintJosie	2
46	EveryonesUncle	2
46	Manaateee	2
46	NameGenerat0r	2
46	Fildyr	2
46	lordpipe	2
46	Ze_BaronKrigler	2
46	_Mythic____	2
46	djancak	2
46	xzvu	2
46	non089	2
46	CalebDHawk	2
46	TheALV	2
46	Ezekson	2
46	PlasticOtari	2
78	k_ce	1
78	MuffinManzz	1
78	q_wq	1
78	KarlKaek	1
78	Ryan_GEMS	1
78	BlancoFlaco	1
78	Killercatty78	1
78	tuckerdoodle	1
78	Incinere	1
78	Wooptey	1
78	livingdaydreams	1
78	SyntheticSurgeon	1
78	Alteriity	1
78	TAKrules	1
78	Mahoose	1
78	Prismyst	1
78	Da_Boss_Rani	1
78	ccwildfire1	1
78	QuiCreans	1
78	Crowman1	1
78	BobDeBouwer1337	1
78	bloodbiter	1
78	Nicky_H225	1
78	kekhon	1
78	SoftSix	1
78	crying_wolf_13	1
78	Kkanot	1
78	thescout7	1
78	Awyrlas	1
78	Mewar	1
78	Cellcorgi649	1
78	gcaisawesome	1
78	NotKaden_	1
78	UncleDanDan	1
78	ehunt54	1
78	M_Patata	1
78	fr_ser	1
78	Jackattack53	1
78	mick407	1
78	Snowflowe	1
78	Zythose	1
78	AnnieBathory	1
78	Voxin2K	1
78	Onennon	1
78	F_Uhre	1
78	PuFY	1
78	ClemenPine	1
78	HolyVenom	1
78	Maenara	1
78	fw3xy74	1
78	AuroraSkies	1
78	Joestra	1
78	NomadicRobin_	1
78	Deathkob	1
78	Meatlaugh	1
78	KermitTheKripple	1
78	Fuad_R	1
78	HellsSponge	1
78	Shogunite	1
78	FreakGenius	1
78	Nycteus_	1
78	Xclax101	1
78	Blaiku	1
78	the__Reaper4999	1
78	Racengan	1
78	MS_Pryxx	1
78	silverpopcorn	1
78	wwwwinnebagoooo	1
78	_Meow_Mix	1
78	g0rr1lla	1
78	mihimihimihi	1
78	layabout100	1
78	TheEnderMan548	1
78	lcvezra	1
78	SammiWolfGirl	1
78	SunsetwolfGG	1
78	Dogcorn69420	1
78	fffMike	1
78	Dreamdbr14	1
78	Njensen7	1
78	zOnlyKroks	1
78	Kubeusz2010	1
78	laron58	1
78	Skippeh	1
78	Iamthejo	1
78	EcksD	1
78	Quotary	1
78	RadarHz	1
78	AstroLightz_	1
78	little_dUki	1
78	MirielThePastor	1
78	Powowowow	1
78	UrbanPlanningEx	1
78	TechnoNinja64	1
78	Sral7	1
78	h2p_emrld	1
78	00000000-0000-0000-0009-01ff0c3e5e4f	1
