rank	username	minecraft:dropped/minecraft:waxed_oxidized_copper_grate
1	Spaghettatron	11
2	net_flex	6
3	Secret_Canary	3
4	MyMawgDonaldsGon	1
4	thewindmillman	1
4	Eczbek	1
