rank	username	minecraft:dropped/minecraft:arrow
1	lordpipe	97665
2	Blaiku	51674
3	PigDab	46316
4	Hyp3rion_	32060
5	Spacewardharpy7	13113
6	joethahobo	12170
7	El_Jalapeno	9418
8	TechnoNinja64	8634
9	MightyWertu	8509
10	noam464	8437
11	thewindmillman	7338
12	eitanzaki	6585
13	StinkyDiplomat	4801
14	PortlyPete69	4748
15	GravitySaint	4398
16	Deerfoot	3860
17	beeperbeeper5	3696
18	HellsSponge	2800
19	Masssonnn	2579
20	kekhon	2254
21	Fullut	2226
22	AuroraValkyrie	2047
23	Werbe	1961
24	Di_infiri	1888
25	Smashic	1855
26	YungMaki	1791
27	Historical_Sand	1723
28	ooga47	1646
29	rarrq	1601
30	Chromary	1597
31	censorsheep	1541
32	Mahoose	1512
33	Drlzyy	1492
34	Akoot_	1466
35	lillips	1458
36	Ezekson	1406
37	Smoke____	1381
38	chipklip	1347
39	Jiminie	1303
40	mariominejedi	1271
41	Segotep999	1197
42	Blackberry1310	1188
43	Frozil12	1154
44	EveryonesUncle	1134
45	vandmanden	1120
46	HesDemonPants	1115
47	oxfordschool	1097
48	Kakolbus	1046
49	Racengan	1037
50	RodSerlingCringe	1028
51	Cowison	986
52	SharpDev	966
53	Miko_Fullbuster	939
54	Blu3beast	861
55	NomadicRobin_	839
56	Jackattack53	838
57	Nach0Bear	832
58	Freak_Genius	794
59	QueenShuvi	791
60	Queen_Jalapeno	768
61	MattieHD	743
62	RebelAndroid	702
63	thescout7	683
64	Eraxa	673
65	soundad	664
66	Wooptey	662
67	Groovy_MoonBird	632
68	xxPipperDipperxx	599
69	Bumpy419	590
70	Kubeusz2010	580
71	youhjjhhhjj	576
72	500am	554
73	CalebDHawk	536
74	WavyGravy_	532
75	EMC_	524
76	_Virify_	521
77	Winklepicker279	499
78	Mewar	496
79	HBA00_	474
80	12Magner05	465
81	SammiWolfGirl	458
82	Kowcio_	454
83	gcaisawesome	448
83	SlothInASuit	448
85	MakeHistory157	435
86	pintsizedrogue	433
87	Kamflame10	426
88	KarlKaek	425
88	Zoeyfortnite	425
90	Rebytre	423
91	Enderslayerxz3	421
92	mwrty	416
93	Snowflowe	411
94	Xclax101	408
95	The11thDoctor	391
96	__tomato	369
97	jnp_gaming	362
98	alderban107	359
99	q_wq	348
100	stahouo	345
101	CoffeeNoir	333
102	Soplight	331
103	laron58	315
104	Skippeh	311
105	gabriels543	309
106	Skylord_Luke	306
107	Rumpletaezer	302
108	Hiryu27	301
109	claivin	297
110	Groundler	294
111	SvenskaHugo	288
112	MilleGrug	281
113	fade_emerge78823	280
114	ToastedGamingYT	278
115	RedcatVII	277
116	Menthas	276
117	TheSecondLord	272
118	SkateboardR6	270
119	eviltunix	269
120	Sky_light_KING	257
120	ebanana	257
122	I_Am_Mushkin	254
123	Hermanni__	253
124	pixelviolin	251
125	ImpavidArcher	250
125	Soul_Atreus	250
127	ProfessorBee	249
128	FishyBoy3811	248
129	MeetTheWollo	246
130	Inbefour	242
130	jcool7	242
132	Spenduh	237
133	Cryptacity	234
134	Giannism	230
134	kinas45y5	230
136	SteveCraftBlocks	223
137	PlasticOtari	222
138	Njensen7	221
139	T045RTY	220
140	Deathkob	219
140	Meatlaugh	219
142	Merv__	218
143	EfficientC52	213
144	hm947	211
145	Onennon	205
146	IforgotCS_Source	203
146	Lord_Jord	203
