rank	username	minecraft:dropped/minecraft:lime_stained_glass
1	Hyp3rion_	67148
2	hanaryheatwave	1728
3	Jackattack53	1679
4	eitanzaki	1425
5	noam464	486
6	_Virify_	319
7	thewindmillman	143
8	IamCL4SSY	128
9	lordpipe	77
10	txxskx	72
11	emreknugrlu	64
12	oreee	63
13	Fuad_R	58
14	EcksD	54
15	Lez_	45
16	Inbefour	35
17	El_Jalapeno	26
18	NameGenerat0r	19
19	Kowcio_	16
20	FishisTTV	11
21	beeperbeeper5	7
21	Dogcorn69420	7
23	ROY4LE	6
23	Werbe	6
25	PigDab	5
25	EveryonesUncle	5
27	_Huge_Male_	4
27	Mattesco	4
29	Bumpy419	3
29	_Mythic____	3
29	Spenduh	3
32	pintsizedrogue	2
32	_Nuf	2
32	Blaiku	2
35	SaucyDark	1
35	joethahobo	1
35	Awyrlas	1
35	Di_infiri	1
35	MightyWertu	1
35	PortlyPete69	1
35	ConnorDanky_	1
