rank	username	minecraft:dropped/minecraft:cyan_concrete_powder
1	Hyp3rion_	156480
2	Jackattack53	51904
3	Huwulling	440
4	thewindmillman	360
5	mwrty	160
6	TheSecondLord	139
7	annebolyn	128
8	Frozil20	77
9	Kowcio_	64
9	00000000-0000-0000-0009-00000cfcfaa8	64
11	KarlKaek	62
12	skitzxo	53
13	shrimp_flips	40
14	pretty_pink_reno	32
15	Pumpkin_P_Patch	31
16	ImpavidArcher	18
17	noam464	17
18	lordpipe	16
19	VittoValenttino	15
20	Yamdalorian	9
21	mihimihimihi	8
22	Mahoose	2
23	beeperbeeper5	1
23	kekhon	1
23	RoboTramp7865	1
