rank	username	minecraft:dropped/minecraft:white_shulker_box
1	thewindmillman	5023
2	Hyp3rion_	238
3	Jackattack53	83
4	Blaiku	27
5	mihimihimihi	26
6	noam464	24
7	Lez_	20
8	Mahoose	13
9	eitanzaki	12
9	lillips	12
11	Kowcio_	11
11	jnp_gaming	11
11	Wanjibon	11
14	joethahobo	10
14	kekhon	10
16	Spacewardharpy7	9
17	Blackberry1310	8
17	Zoeyfortnite	8
19	pintsizedrogue	7
19	Smoke____	7
19	diggydog67	7
22	ImpavidArcher	6
22	Snowflowe	6
22	claivin	6
22	xzvu	6
22	EcksD	6
22	TechnoNinja64	6
28	Marbz_	5
28	k1ngGilgamesh	5
28	Akoot_	5
28	Lord_Jord	5
28	wezzzi	5
28	luseis	5
28	Fuad_R	5
28	Blu3beast	5
28	UCP_TheKingK	5
28	xolstoi	5
38	beeperbeeper5	4
38	Motsaro	4
38	Xalithia	4
38	TheShyPig	4
38	TheSeismicDuck	4
38	YungMaki	4
44	Killercatty78	3
44	Huwulling	3
44	ThiccExotic	3
44	MrAdamant209	3
44	TheSecondLord	3
44	gcaisawesome	3
44	legal_tax_evader	3
44	Chromary	3
44	Hiryu27	3
44	groofles	3
44	Elastiq	3
44	The_slideV3	3
44	SammiWolfGirl	3
44	Njensen7	3
44	ConnorDanky_	3
44	camando92	3
60	Flegneh	2
60	Merv__	2
60	teslawolf38	2
60	Frozil20	2
60	Iagoku	2
60	Smashic	2
60	fade_emerge78823	2
60	XboxPanda	2
60	Zythose	2
60	F_Uhre	2
60	PigDab	2
60	NomadicRobin_	2
60	HellsSponge	2
60	FreakGenius	2
60	MustaLoordi	2
60	Cocoamallows	2
60	sadvavilloso	2
60	BlankityMcBlank	2
60	Sheldor097	2
60	KingMatthew506	2
60	vandmanden	2
60	Jimb0nat0r	2
82	seanitoo	1
82	NatalieTW	1
82	_Huge_Male_	1
82	PazinGaming	1
82	shineh10	1
82	SyntheticSurgeon	1
82	Alteriity	1
82	peach0s	1
82	ShedJr_	1
82	_Nova_Z	1
82	rarrq	1
82	Crowman1	1
82	m_be9	1
82	zorin123	1
82	Secret_Canary	1
82	500am	1
82	paranoid_plant	1
82	thescout7	1
82	Awyrlas	1
82	r123moore	1
82	stickymonkeyboy	1
82	TheDankPlatypus	1
82	prizm_	1
82	Kakolbus	1
82	CollinMH06	1
82	gabriels543	1
82	Di_infiri	1
82	Jonafrog99	1
82	hanaryheatwave	1
82	Billious	1
82	ApophisNova	1
82	Werbe	1
82	HyperCave	1
82	Rasmanden	1
82	IamCL4SSY	1
82	ReSynced	1
82	_Bguette_	1
82	Tyrannosplart	1
82	NameGenerat0r	1
82	Quaintster	1
82	Ritter__	1
82	MightyWertu	1
82	Racengan	1
82	__Auspicious	1
82	lordpipe	1
82	iSammael	1
82	Eraxa	1
82	Kyrum2169	1
82	RealGroot	1
82	__tomato	1
82	Soplight	1
82	stellarjay	1
82	fffMike	1
82	jcool7	1
82	MilleGrug	1
82	Steelynan	1
82	TheOuterCore	1
82	Mr_Teddiursa_K	1
82	MyNamaSheff	1
82	Enderxz3	1
82	trexgb	1
