rank	username	minecraft:dropped/minecraft:splash_potion
1	EcksD	596
2	noam464	518
3	thewindmillman	510
4	Blaiku	347
5	eitanzaki	157
6	Smoke____	79
7	Di_infiri	71
7	Hyp3rion_	71
9	jnp_gaming	70
10	HellsSponge	67
11	MightyWertu	60
12	_Virify_	50
13	PigDab	48
13	FreakGenius	48
15	Frozil20	29
16	beeperbeeper5	28
17	RebelAndroid	25
18	mihimihimihi	23
18	TechnoNinja64	23
20	gcaisawesome	22
20	Jackattack53	22
22	Tyrannosplart	20
23	Soplight	17
24	lillips	15
25	kekhon	14
25	F_Uhre	14
27	Mahoose	13
27	PlasticOtari	13
29	pintsizedrogue	12
30	Blackberry1310	10
30	DarlaMeow	10
32	joethahobo	9
32	Snowflowe	9
32	Werbe	9
35	Kamflame10	8
35	WET_WET_WET	8
35	Eraxa	8
35	Mythic1130	8
39	Spacewardharpy7	7
39	ConnorDanky_	7
41	Merv__	6
41	ivorico	6
41	M_Patata	6
41	Akoot_	6
41	Racengan	6
41	MasterNueve	6
47	ProfessorBee	5
47	luseis	5
47	RoofTyler	5
50	MattieHD	4
50	pixelviolin	4
52	SmashingPump	3
52	livingdaydreams	3
52	CliffEmAll	3
52	TheSecondLord	3
52	Yirtle	3
52	LeGold	3
52	LilLizardWizard	3
52	Leyna3	3
52	IamCL4SSY	3
52	DTwenty	3
52	Xclax101	3
52	Hisiste	3
52	MineMaster0012	3
52	djancak	3
52	__tomato	3
52	Dogcorn69420	3
52	Faart	3
69	PhantomsGhost_	2
69	gren_ben	2
69	Huwulling	2
69	Historical_Sand	2
69	12Magner05	2
69	mwrty	2
69	himak1	2
69	xxPipperDipperxx	2
69	Chromary	2
69	Arceus1975	2
69	Lord_Jord	2
69	masskedman	2
69	NameGenerat0r	2
69	RealGroot	2
69	ItsJunoIGuess	2
69	Iamthejo	2
69	Nicserso	2
69	Powowowow	2
87	dudcreeper	1
87	CadenSteele	1
87	6king6colt6	1
87	Esme_1	1
87	ImpavidArcher	1
87	hm947	1
87	Tolhart	1
87	openatheclose	1
87	rarrq	1
87	Secret_Canary	1
87	set67	1
87	Scathra	1
87	r123moore	1
87	CollinMH06	1
87	gabriels543	1
87	Armattillo	1
87	burbankbuilder28	1
87	DAD_1996	1
87	Rebytre	1
87	Hiryu27	1
87	Smussa	1
87	iElijah	1
87	DanielMmm	1
87	Digger__Joe	1
87	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
87	BunkeredTree	1
87	Maenara	1
87	wezzzi	1
87	NomadicRobin_	1
87	Inbefour	1
87	claivin	1
87	censorsheep	1
87	Kowcio_	1
87	Luigipunch989	1
87	ProbsNotNova	1
87	fffMike	1
87	Steelynan	1
87	Skippeh	1
87	h2p_emrld	1
