rank	username	minecraft:dropped/minecraft:tube_coral
1	Jackattack53	57
2	500am	19
3	kekhon	12
4	Di_infiri	7
5	Archsam	6
6	thewindmillman	5
7	Enderxz3	4
8	craaaash	3
8	AlexxO_o	3
8	Akoot_	3
8	Jimb0nat0r	3
12	bigstankyy	2
12	ratglock	2
12	12Magner05	2
12	lpinfinity	2
12	noam464	2
12	Arceus1975	2
12	groofles	2
12	Maenara	2
12	WyngGoy	2
21	dudcreeper	1
21	dimondking777	1
21	SaucyDark	1
21	Alteriity	1
21	Lez_	1
21	TheSecondLord	1
21	gamerlord1324	1
21	RobotMinion101	1
21	Onennon	1
21	Xclax101	1
21	Gus2005	1
21	Spacewardharpy7	1
21	djancak	1
