rank	username	minecraft:dropped/minecraft:black_wool
1	thewindmillman	185800
2	noam464	106027
3	EcksD	29253
4	Spacewardharpy7	10144
5	Werbe	8339
6	Blaiku	7336
7	kekhon	5473
8	jnp_gaming	4944
9	eitanzaki	4620
10	Hyp3rion_	2784
11	FreakGenius	2392
12	joethahobo	2389
13	Tyrannosplart	1989
14	Mahoose	1430
15	beeperbeeper5	1224
16	HellsSponge	1054
17	Manaateee	776
18	skrongus	729
19	ConnorDanky_	727
20	olliebollie48	704
21	lordpipe	588
22	Bumpy419	495
23	Di_infiri	464
24	CattSoup	384
25	jessewegottacook	320
26	Blackberry1310	277
27	xolstoi	258
28	Lez_	257
29	YungMaki	251
30	mariominejedi	233
31	rarrq	232
32	KingMatthew506	228
33	Wowful	221
34	Kyrum2169	206
35	_Virify_	200
36	LeonelSalamanca	194
37	AlexxO_o	169
38	Quaintster	161
39	TheSecondLord	139
40	Hermanni__	136
41	PigDab	132
42	PlzNoBM	129
43	bigstankyy	128
43	Kubeusz2010	128
45	NameGenerat0r	92
46	pintsizedrogue	88
46	CuzIm2Kev	88
48	Cocoamallows	84
49	luseis	76
50	Sral7	74
51	Kowcio_	72
52	fr_ser	70
53	Alteriity	68
54	Ezekson	65
54	Quotary	65
56	set67	64
56	theofiel	64
56	Maenara	64
56	lillips	64
56	Shogunite	64
56	sadvavilloso	64
62	Segotep999	62
62	TechnoNinja64	62
64	ECstardust	61
65	Minimize501	58
66	WyngGoy	54
67	r123moore	42
68	Akoot_	35
69	EveryonesUncle	34
70	NomadicRobin_	32
71	Groovy_MoonBird	28
71	SammiWolfGirl	28
73	seanitoo	26
73	_Karmaa	26
73	anbbang	26
76	thescout7	25
77	Rumpletaezer	24
78	Foof13	22
79	ITDV	20
80	hm947	18
80	mimbo1211	18
80	AdmiralSmoke	18
83	ImpavidArcher	17
84	Fullut	16
85	k_ce	15
86	NinjaKnifeKill	13
87	Huwulling	12
87	Blu3beast	12
89	Snowflowe	11
89	weabis	11
89	xzvu	11
92	El_Jalapeno	10
93	SyntheticSurgeon	9
93	Cryptacity	9
93	seramalen	9
96	EMC_	8
96	burbankbuilder28	8
96	TheWildMateo	8
96	RohnJosin	8
96	StinkyDiplomat	8
101	NatalieTW	7
101	Groundler	7
103	Killercatty78	6
103	livingdaydreams	6
103	Kakolbus	6
103	Xclax101	6
103	Racengan	6
103	trexgb	6
109	T045RTY	5
109	Mattesco	5
109	HolyVenom	5
109	JoCoLi	5
109	jcool7	5
109	Njensen7	5
115	dabloons	4
115	Frozil20	4
115	Ssor69	4
115	dopplexd	4
115	Tjhodskins19	4
115	CollinMH06	4
115	yulgur1	4
115	MinuteMira	4
115	Warlord324	4
115	Eraxa	4
115	_Mythic____	4
115	Luigipunch989	4
115	vandmanden	4
128	Bandito_Roamer	3
128	I_Am_Mushkin	3
128	BlancoFlaco	3
128	Archsam	3
128	Historical_Sand	3
128	Blazebit	3
128	Paintz	3
128	WarMachina	3
128	Skylord_Luke	3
128	HeraclesOGU	3
128	magmaniacmc	3
128	DTwenty	3
128	fluddd	3
128	djancak	3
128	Juh1s	3
128	_i_ERROR_i_	3
