rank	username	minecraft:dropped/minecraft:barrel
1	Spacewardharpy7	259
2	500am	216
3	lillips	139
4	Blaiku	132
5	noam464	128
6	rarrq	120
7	Di_infiri	75
8	jacxhadow	73
9	teslawolf38	64
10	KingMatthew506	52
11	KarlKaek	43
12	Mahoose	40
12	Aiko_Kawashima	40
12	oxfordschool	40
15	thewindmillman	33
16	Slapface522	28
17	Freak_Genius	27
18	Merv__	25
19	wTXop	24
20	eitanzaki	18
20	Swexti	18
22	PigDab	16
22	Xclax101	16
22	stahouo	16
25	beeperbeeper5	14
26	lordpipe	13
27	Wowful	12
27	TechnoNinja64	12
29	ImpavidArcher	11
29	Hyp3rion_	11
29	Nycteus_	11
29	AltnumberF4	11
33	Arceus1975	10
34	pintsizedrogue	9
34	Historical_Sand	9
34	bpmm	9
34	MightyWertu	9
34	Zoeyfortnite	9
39	Kkanot	7
39	Werbe	7
39	Groundler	7
39	Steelynan	7
39	camando92	7
39	Smoke____	7
45	rachcl	6
45	T045RTY	6
45	Megarboh	6
45	Xalithia	6
45	xxPipperDipperxx	6
45	sadvavilloso	6
51	diamondgolem35	5
51	_Dean_123	5
51	Awyrlas	5
51	mimbo1211	5
51	NomadicRobin_	5
51	jnp_gaming	5
57	Akoot_	4
57	AuroraSkies	4
57	EfficientC52	4
57	SammiWolfGirl	4
57	CalebDHawk	4
57	EcksD	4
57	EcksDofficial	4
64	PhantomsGhost_	3
64	q_wq	3
64	titanlax	3
64	Blackberry1310	3
64	SteveCraftBlocks	3
64	burbankbuilder28	3
64	Skylord_Luke	3
64	ApophisNova	3
64	Sky_light_KING	3
64	Blu3beast	3
64	Kowcio_	3
64	MyNamaSheff	3
64	Enderslayerxz3	3
77	hm947	2
77	Whiterooster001	2
77	LoboTheLobster	2
77	bloodbiter	2
77	ThePoliteG	2
77	Covalents	2
77	Gamergirl420628	2
77	BlueZabu	2
77	SuperPooch06	2
77	iTurbo	2
77	The11thDoctor	2
77	Truckoss	2
77	HolyVenom	2
77	fkGrim	2
77	The_slideV3	2
77	Quaintster	2
77	Ze_BaronKrigler	2
77	GlitchyPlate810	2
95	Base_Tempest	1
95	ShedJr_	1
95	joethahobo	1
95	YungJakobo	1
95	12Magner05	1
95	Fullut	1
95	egglapras	1
95	himak1	1
95	Inchef	1
95	r123moore	1
95	fr_ser	1
95	Jackattack53	1
95	Snowflowe	1
95	_Boipl_	1
95	Onennon	1
95	fred870d	1
95	TheShyPig	1
95	RodSerlingCringe	1
95	yulgur1	1
95	EveryonesUncle	1
95	MyNameIsDakar	1
95	HellsSponge	1
95	Frozil12	1
95	07shiny	1
95	SvenskaHugo	1
95	SSytex_X	1
95	Luigipunch989	1
95	Sheldor097	1
95	Eczbek	1
95	Hermanni__	1
95	Aryamanee	1
95	Ezekson	1
95	little_dUki	1
95	FGamerJ	1
95	JayToe	1
