rank	username	minecraft:dropped/minecraft:jukebox
1	noam464	156
2	lordpipe	54
3	TechnoNinja64	11
4	Kowcio_	4
5	kekhon	3
5	NomadicRobin_	3
5	EcksD	3
8	Merv__	2
8	Mahoose	2
8	beeperbeeper5	2
8	QuakerOatsGod	2
8	ProfessorBee	2
8	lillips	2
8	Quaintster	2
8	Soplight	2
8	jcool7	2
8	ConnorDanky_	2
8	Nicserso	2
8	jnp_gaming	2
20	pintsizedrogue	1
20	k_ce	1
20	peach0s	1
20	rarrq	1
20	DarkDescent2392	1
20	intropass	1
20	Jackattack53	1
20	SuperPooch06	1
20	wTXop	1
20	oscminus	1
20	Werbe	1
20	Drewen24	1
20	Akoot_	1
20	HellsSponge	1
20	claivin	1
20	FreakGenius	1
20	fluddd	1
20	Blaiku	1
20	Spacewardharpy7	1
20	Cocoamallows	1
20	33sudo	1
20	Eraxa	1
20	YungMaki	1
20	SammiWolfGirl	1
20	Steelynan	1
20	Ezekson	1
20	cichy096	1
20	Enderxz3	1
