rank	username	minecraft:dropped/minecraft:snow_block
1	thewindmillman	29908
2	Drawgirll	2560
3	Smoke____	1789
4	Blu3beast	1185
5	rarrq	645
6	Ezekson	530
7	noam464	454
8	RedcatVII	436
9	TheSecondLord	406
10	Akoot_	382
11	Groundler	343
12	kekhon	327
13	lordpipe	324
14	Skippeh	323
15	set67	269
16	Blackberry1310	263
17	beeperbeeper5	257
18	Thaumatarge	252
19	TechnoNinja64	218
20	YungMaki	205
21	Onennon	138
22	Kkanot	132
23	SaucyDark	128
23	MattieHD	128
25	OtariCharlie	113
26	lillips	109
27	sp00ky_ghost977	103
28	Di_infiri	91
29	masskedman	82
29	Eraxa	82
31	diamondgolem35	81
32	Frozil12	76
33	SuperPooch06	68
34	PhantomsGhost_	64
34	Pickel_Lord	64
34	Hermanni__	64
34	alderban107	64
38	ApophisNova	62
38	MyNamaSheff	62
40	Kowcio_	43
41	slkiey	42
42	burbankbuilder28	41
42	UrbanPlanner1978	41
44	_Dean_123	40
45	claivin	38
46	12Magner05	37
47	chipklip	36
48	SteveCraftBlocks	34
48	Hyp3rion_	34
50	EcksDofficial	32
51	Incinere	31
52	Sky_light_KING	28
53	jnp_gaming	26
54	eitanzaki	20
54	obzii	20
56	Njensen7	19
57	Chromary	16
57	drumine	16
59	pintsizedrogue	15
59	Mahoose	15
59	_Boipl_	15
62	HellsSponge	14
62	stellarjay	14
64	gcaisawesome	13
64	Winklepicker279	13
64	oxfordschool	13
67	Drlzyy	12
67	Bumpy419	12
69	Deathkob	11
69	Xclax101	11
71	Kubelz	10
71	EfficientC52	10
73	NameGenerat0r	9
73	MeetTheWollo	9
75	benediktine1	8
75	Rocco_Lane	8
75	Spacewardharpy7	8
78	m_be9	6
78	Arceus1975	6
78	TTNG	6
78	Soplight	6
78	PortlyPete69	6
83	Racengan	5
84	Bandito_Roamer	4
84	Merv__	4
84	6king6colt6	4
84	_Razar	4
84	M_Patata	4
84	RodSerlingCringe	4
84	Blaiku	4
84	MasterNueve	4
92	ProfessorBee	3
92	Awyrlas	3
92	The11thDoctor	3
92	Toriankel	3
96	livingdaydreams	2
96	jimintyy	2
96	xxPipperDipperxx	2
96	sammidk	2
96	fkGrim	2
96	Sheldor097	2
96	EcksD	2
96	scarletwarrior1	2
104	rats_life	1
104	Cowison	1
104	dabloons	1
104	Jahara	1
104	joethahobo	1
104	FirsTimeGamingTV	1
104	Fullut	1
104	Kamflame10	1
104	XxSiebzxX	1
104	Shogunite	1
104	djancak	1
104	SSytex_X	1
104	jcool7	1
