rank	username	minecraft:dropped/minecraft:oak_door
1	Snowflowe	777
2	_Nuf	746
3	noam464	85
4	joethahobo	73
5	Cocoamallows	66
6	Uzbeki_John	63
7	eitanzaki	44
8	FreakGenius	33
9	Racengan	30
10	Blackberry1310	22
11	stavgod	20
12	Zoeyfortnite	19
13	Lez_	17
14	EveryonesUncle	16
14	Xclax101	16
14	EcksD	16
17	beeperbeeper5	13
17	thewindmillman	13
19	CoffeeNoir	11
19	titanlax	11
19	lordpipe	11
19	SvenskaHugo	11
23	Alteriity	10
24	Gingayy	9
24	WET_WET_WET	9
24	PortlyPete69	9
27	Groovy_MoonBird	8
28	Jovaphobic	7
28	crying_wolf_13	7
28	Di_infiri	7
28	yaboo88	7
28	Skylord_Luke	7
28	_Karmaa	7
34	kekhon	6
34	Fullut	6
34	intropass	6
34	EdGalbraith	6
34	UrbanPlanningEx	6
39	EMC_	5
39	Wooptey	5
39	Swexti	5
39	hcb238	5
39	DarkS0L	5
39	HellsSponge	5
39	Kyrum2169	5
39	laron58	5
47	NatalieTW	4
47	elicobnoah	4
47	redikul	4
47	BlueZabu	4
47	Jackattack53	4
47	_8man	4
47	TheSeismicDuck	4
47	kiluaemc	4
47	fkGrim	4
47	Tyrannosplart	4
47	QueenShuvi	4
47	Blaiku	4
47	bndo	4
47	YungMaki	4
47	Segotep999	4
47	Njensen7	4
47	Steelynan	4
47	_KuruKuru	4
47	Ezekson	4
47	FishisTTV	4
67	MunkaKris	3
67	Ev0luti0nz	3
67	soundad	3
67	q_wq	3
67	Saltymart	3
67	hm947	3
67	MoistMicrowave	3
67	Mahoose	3
67	Archsam	3
67	Auseawesome	3
67	TheSecondLord	3
67	Hydro___________	3
67	MattieHD	3
67	SteveCraftBlocks	3
67	set67	3
67	emrekn	3
67	Xalithia	3
67	Paintz	3
67	ImDisconnected_	3
67	Hyp3rion_	3
67	Krowuss	3
67	Corbsman	3
67	RobotMinion101	3
67	Tou3bann	3
67	Huic_ostiarius	3
67	Dan_Scha	3
67	sufjanlover	3
67	Spacewardharpy7	3
67	SUN_DREAM	3
67	IAmTheWalrus910	3
67	TheEnderMan548	3
67	xzvu	3
67	Luigipunch989	3
67	ScarmedLeft	3
67	2blox_	3
67	annebolyn	3
103	pintsizedrogue	2
103	TooPure2	2
103	Mocha_Mug	2
103	Kegradigm	2
103	BlancoFlaco	2
103	T045RTY	2
103	SOA1RR	2
103	YairZaki	2
103	tsohomie	2
103	Gregward_Smith	2
103	Upstro10	2
103	Malorn_Aetherius	2
103	Z3braYTIL	2
103	himak1	2
103	surfinggiraffejp	2
103	SellyZ	2
103	gcaisawesome	2
103	NotKaden_	2
103	ARandomHedge	2
103	Zaridey	2
103	Kakolbus	2
103	Chromary	2
103	Silvo614	2
103	MinerDec	2
103	BRRRN179	2
103	jewbacaman	2
103	TheShyPig	2
103	Rasmanden	2
103	groofles	2
103	KliBeast21	2
103	IamCL4SSY	2
103	Akoot_	2
103	wezzzi	2
103	gustarlep	2
103	Lord_Zacler	2
103	ori0le	2
103	autisticcupcake	2
103	GoofyBread	2
103	QuesoCrusaderIII	2
103	mihimihimihi	2
103	Airem_Core	2
103	Druid95	2
103	ItsDeltaMC	2
103	Eraxa	2
103	yatsuta	2
103	Kowcio_	2
103	PncakeUniverse	2
103	LeEricc	2
103	SammiWolfGirl	2
103	Nekomin0	2
103	Logain42	2
103	Snow_Blizzard	2
103	VentiHilton	2
103	cichy096	2
103	Nicserso	2
103	Powowowow	2
103	vandmanden	2
103	PlasticOtari	2
103	00000000-0000-0000-0009-01fc3bb26159	2
162	CLG_Kata	1
162	zqw10k	1
162	PazinGaming	1
162	BigBootyHudge	1
162	Merv__	1
162	powercas_gamer	1
162	I_Am_Mushkin	1
162	Iagoku	1
162	Killercatty78	1
162	Incinere	1
162	VDVKmdr_2k04	1
162	abdomera	1
162	lorywithay	1
162	Huwulling	1
162	Reamdin	1
162	301851	1
162	SquadMonster	1
162	elmer1234	1
162	musique99	1
162	Prodiginus	1
162	Frxnkz	1
162	xPixelRainx	1
162	ThePoliteG	1
162	Guillemet	1
162	excelsionprime	1
162	thebest_daniela	1
162	LitoDelvito	1
162	Kubelz	1
162	benediktine1	1
162	M_Patata	1
162	SeverianOfUrth	1
162	TableTim	1
162	CollinMH06	1
162	caesarleon	1
162	2extreeme	1
162	AnnieBathory	1
162	Mpkkiller	1
162	RebytreGT	1
162	Hiryu27	1
162	oscminus	1
162	Onennon	1
162	F_Uhre	1
162	J4k__	1
162	PuFY	1
162	LilLizardWizard	1
162	lizardfightclub	1
162	Luminad3	1
162	Elastiq	1
162	parodypatient	1
162	AlphaWolfPlaysMC	1
162	NomadicRobin_	1
162	masskedman	1
162	Qorbyn	1
162	Darkgon	1
162	Dakar_	1
162	Fuad_R	1
162	claivin	1
162	DanTheBuilderino	1
162	EfficientC52	1
162	C0oOK13M0N5T3R	1
162	GeromeMerris	1
162	RedcatVII	1
162	Keeogwi	1
162	AssassinAshton	1
162	Matorz	1
162	SkateboardR6	1
162	Vorlice	1
162	MovingFish7	1
162	MasterNueve	1
162	WyngGoy	1
162	StarCookiees_	1
162	07shiny	1
162	pixelviolin	1
162	TheKingK_	1
162	truonggojo777	1
162	SSytex_X	1
162	Ryn777	1
162	SpacesickPrism	1
162	obzii	1
162	fffMike	1
162	MilleGrug	1
162	KingMatthew506	1
162	EngagedGrub41	1
162	OfficerAnvil	1
162	ConnorDanky_	1
162	Enderxz3	1
162	Legendosh	1
162	jnp_gaming	1
162	TechnoNinja64	1
162	Jordan_R	1
162	calamariclam_I	1
162	Teebone15	1
162	diggydog67	1
162	00000000-0000-0000-0009-01ff0c3e5e4f	1
