rank	username	minecraft:dropped/minecraft:spyglass
1	Mahoose	18
2	500am	14
3	pintsizedrogue	7
3	SteveCraftBlocks	7
5	12Magner05	6
6	TheDankPlatypus	3
6	Soplight	3
6	Smoke____	3
9	RoskobiOne	2
9	noam464	2
9	Akoot_	2
9	NomadicRobin_	2
9	Jiminie	2
14	Merv__	1
14	Flores991	1
14	CoffeeNoir	1
14	MSK__	1
14	TerraVl	1
14	egglapras	1
14	Inchef	1
14	SvenskaAlvar	1
14	CarryLine	1
14	AuroraSkies	1
14	EveryonesUncle	1
14	majlin16	1
14	Toriankel	1
14	Segotep999	1
14	tsitrawhy	1
14	cichy096	1
14	Enderslayerxz3	1
