rank	username	minecraft:dropped/minecraft:smooth_quartz
1	Hyp3rion_	12494
2	Frozil20	3781
3	noam464	3298
4	Fuad_R	3230
5	lillips	2991
6	lordpipe	1500
7	Blaiku	1046
8	ApophisNova	640
8	MyNamaSheff	640
10	beeperbeeper5	597
11	eitanzaki	469
12	Ezekson	458
13	EMC_	223
14	jnp_gaming	200
15	Di_infiri	195
16	pintsizedrogue	129
17	Eraxa	106
18	EcksD	103
19	Nekomin0	89
20	ImpavidArcher	88
21	Blu3beast	84
22	Mattesco	83
23	Smashic	76
24	Huwulling	64
24	NomadicRobin_	64
24	TheTommyGun63	64
27	Mahoose	61
28	SteveCraftBlocks	55
29	SammiWolfGirl	50
30	_Mythic____	48
31	Jimb0nat0r	47
32	Spacewardharpy7	41
33	Merv__	39
34	mihimihimihi	35
35	Akoot_	33
36	rarrq	32
36	The_slideV3	32
36	Kowcio_	32
39	Fullut	28
39	SuperPooch06	28
41	fluddd	21
41	MightyWertu	21
43	kekhon	20
44	Snowflowe	9
44	EveryonesUncle	9
46	ooga47	8
46	PigDab	8
48	Lez_	7
49	_Huge_Male_	6
49	joethahobo	6
51	Jackattack53	5
52	pr33tu	4
52	thewindmillman	4
52	YungMaki	4
52	AltnumberF4	4
56	oreee	3
56	Blackberry1310	3
56	Truckoss	3
56	MakeHistory157	3
56	Spenduh	3
61	NotMeanttoChange	2
61	himak1	2
61	M_Patata	2
61	Drake_l0ver	2
61	Krowuss	2
61	Lord_Jord	2
61	Racengan	2
61	MasterNueve	2
69	Prismyst	1
69	Skylord_Luke	1
69	iSammael	1
69	Kubeusz2010	1
69	Skippeh	1
69	Sral7	1
69	skrongus	1
