rank	username	minecraft:dropped/minecraft:iron_sword
1	oscminus	111
2	noam464	39
3	FreakGenius	29
4	rarrq	27
4	thescout7	27
6	Hyp3rion_	26
7	beeperbeeper5	25
7	annebolyn	25
9	6king6colt6	24
10	TheSecondLord	23
11	ShedJr_	20
12	Akoot_	19
13	Di_infiri	17
14	Blackberry1310	16
14	Smashic	16
14	Hisiste	16
14	xzvu	16
18	Soplight	15
19	RebelAndroid	14
19	mwrty	14
19	lordpipe	14
19	Kowcio_	14
19	Ezekson	14
24	Mahoose	13
24	tsohomie	13
24	Spacewardharpy7	13
24	cichy096	13
28	pintsizedrogue	12
28	lotarp	12
28	Blu3beast	12
28	33sudo	12
28	Segotep999	12
28	Yamdalorian	12
34	CLG_Kata	11
34	Frozil20	11
34	eitanzaki	11
34	Sparky_KT	11
34	Chromary	11
34	OreTheBear	11
34	MustaLoordi	11
34	monky_irl	11
34	WyngGoy	11
34	jnp_gaming	11
44	kekhon	10
44	IamCL4SSY	10
44	masskedman	10
44	Syropatathe	10
44	FGamerJ	10
49	SmashingPump	9
49	Jackattack53	9
49	NomadicRobin_	9
49	wobn	9
49	Tyrannosplart	9
49	BlankityMcBlank	9
49	Kubeusz2010	9
56	EMC_	8
56	KarlKaek	8
56	SaucyDark	8
56	joethahobo	8
56	bloodbiter	8
56	Bumpy419	8
56	luseis	8
56	El_Jalapeno	8
56	Blaiku	8
56	ElectricDragon81	8
56	djancak	8
56	miramyu	8
56	Nicserso	8
56	Jimb0nat0r	8
70	ImpavidArcher	7
70	Wooptey	7
70	T045RTY	7
70	Historical_Sand	7
70	excelsionprime	7
70	gamerlord1324	7
70	Winklepicker279	7
70	thewindmillman	7
70	SvenskaSara	7
70	Skylord_Luke	7
70	Werbe	7
70	Cruncy_	7
70	F_Uhre	7
70	Kynigito	7
70	Joestra	7
70	EveryonesUncle	7
70	AspenLightVT	7
70	TheWickedBird	7
88	Incinere	6
88	KomputerDude	6
88	Saucepeh	6
88	GingerNeutron	6
88	SpicyMeatballs	6
88	Lord_Jord	6
88	Gryglu583	6
88	WeebleSock	6
88	HellsSponge	6
88	SkateboardR6	6
88	Leithz6	6
88	Kura2218	6
88	Eraxa	6
88	Kyrum2169	6
88	Nekomin0	6
88	Njensen7	6
88	Skippeh	6
88	PlasticOtari	6
88	561cool	6
107	PhantomsGhost_	5
107	PazinGaming	5
107	I_Am_Mushkin	5
107	Tolhart	5
107	Lilinaya17	5
107	SOA1RR	5
107	MOSS000	5
107	royal_2	5
107	eclipseboi	5
107	_Dean_123	5
107	Awyrlas	5
107	emrekn	5
107	Xalithia	5
107	ROY4LE	5
107	crashomon	5
107	GOOBERGABE04	5
107	CarltheCuck	5
107	Maenara	5
107	kiluaemc	5
107	Cyntrical	5
107	Toriankel	5
107	Warlord324	5
107	mihimihimihi	5
107	LetsDoItLive	5
107	Seindi	5
107	Sheldor097	5
107	Vellu21	5
107	DairyNickel756	5
107	TechnoNinja64	5
136	Apollo_993	4
136	dabloons	4
136	jessemgaming	4
136	ExtraDumb	4
136	Allchemy	4
