rank	username	minecraft:dropped/minecraft:black_shulker_box
1	thewindmillman	2939
2	EcksDofficial	28
3	kekhon	22
4	luckykill123	20
5	Hyp3rion_	18
5	jnp_gaming	18
7	Segotep999	16
7	EcksD	16
9	eitanzaki	13
10	Akoot_	11
11	noam464	10
12	__tomato	9
12	Legendosh	9
14	Werbe	8
14	lillips	8
16	FirsTimeGamingTV	7
16	Blaiku	7
18	rarrq	6
18	Kamflame10	6
18	YungMaki	6
21	Blackberry1310	5
21	r123moore	5
21	Frozil12	5
21	Eraxa	5
21	Kyrum2169	5
21	PortlyPete69	5
27	AuroraValkyrie	4
27	joethahobo	4
27	k1ngGilgamesh	4
27	Racengan	4
27	stahouo	4
27	TechnoNinja64	4
33	livingdaydreams	3
33	MattieHD	3
33	thescout7	3
33	fade_emerge78823	3
33	ROY4LE	3
33	SpookyDraggin	3
33	NomadicRobin_	3
33	Blu3beast	3
33	Xclax101	3
33	SammiWolfGirl	3
43	Groovy_MoonBird	2
43	seanitoo	2
43	PhantomsGhost_	2
43	teslawolf38	2
43	Mahoose	2
43	beeperbeeper5	2
43	SteveCraftBlocks	2
43	set67	2
43	himak1	2
43	Covalents	2
43	Ecplosive	2
43	MyNameIsJobo	2
43	Di_infiri	2
43	Chromary	2
43	Bumpy419	2
43	Hiryu27	2
43	ApophisNova	2
43	chipklip	2
43	HellsSponge	2
43	lordpipe	2
43	sadvavilloso	2
43	Spenduh	2
43	_TCARREIRA_	2
43	Skippeh	2
43	MyNamaSheff	2
68	Jovaphobic	1
68	pintsizedrogue	1
68	Bandito_Roamer	1
68	nataliecool	1
68	RoskobiOne	1
68	Merv__	1
68	6king6colt6	1
68	KarlKaek	1
68	bigstankyy	1
68	ImpavidArcher	1
68	T045RTY	1
68	peach0s	1
68	H72l9w	1
68	nocturne78	1
68	xPixelRainx	1
68	QuakerOatsGod	1
68	TheSecondLord	1
68	_Nuf	1
68	Fullut	1
68	Motsaro	1
68	eviltunix	1
68	Tjhodskins19	1
68	Arsinic7	1
68	loveseeker	1
68	Jackattack53	1
68	SuperPooch06	1
68	whoaluv	1
68	RobotMinion101	1
68	Matyyy15	1
68	PigDab	1
68	TheShyPig	1
68	Nicky19	1
68	stuy9	1
68	EveryonesUncle	1
68	Deodorante	1
68	Quincannon	1
68	censorsheep	1
68	rezi	1
68	Th6masss	1
68	monky_irl	1
68	WyngGoy	1
68	obzii	1
68	CalebDHawk	1
68	fffMike	1
68	jcool7	1
68	KingMatthew506	1
68	anbbang	1
68	oxfordschool	1
68	cichy096	1
