rank	username	minecraft:dropped/minecraft:gold_ore
1	Frozil20	42412
2	The11thDoctor	1815
3	YungMaki	685
4	PigDab	578
5	Nyxiom_	555
6	Werbe	501
7	Ezekson	446
8	elliebelle107	384
9	EcksD	340
10	beeperbeeper5	312
11	Spacewardharpy7	273
12	_Mythic____	240
13	Tyrannosplart	216
14	TheSandwhich_	199
15	Di_infiri	197
16	h2p_emrld	176
17	yheece	175
18	eitanzaki	171
19	Yamdalorian	169
20	MilleGrug	138
21	Jackattack53	132
22	StylesK	129
23	Blu3beast	126
24	noam464	112
25	NameGenerat0r	106
26	masskedman	102
26	Blaiku	102
26	xzvu	102
29	EveryonesUncle	89
30	thewindmillman	85
31	ConnorDanky_	84
32	kekhon	83
32	i2f8x4h8ro	83
34	thescout7	81
35	Kubeusz2010	76
36	jcool7	74
37	ImpavidArcher	71
37	Meatlaugh	71
39	MousePlays	65
39	Zoeyfortnite	65
41	AspenLightVT	64
42	rarrq	59
42	__tomato	59
42	Enderxz3	59
42	Sral7	59
46	Reamdin	58
47	Hisiste	57
48	emreknugrlu	54
49	Quaintster	50
50	livingdaydreams	49
51	Wowful	48
52	HellsSponge	47
53	Blackberry1310	46
54	Groovy_MoonBird	45
54	F_Uhre	45
56	Teebone15	43
57	I_Am_Mushkin	42
58	xDraggin	40
59	_Ruzeeq_	39
60	impossibleteapot	38
60	Hiryu27	38
60	wezzzi	38
60	annebolyn	38
64	gaziter10	37
64	DTwenty	37
66	NomadicRobin_	36
66	lordpipe	36
68	Fullut	35
68	Chromary	35
70	TrNrGhost	34
71	joethahobo	33
71	Leksanda	33
71	Cyntrical	33
74	royal_2	32
74	ROY4LE	32
74	King_Pancake1	32
74	SkateboardR6	32
74	LordBlaze11	32
79	SDMNAEK	31
79	Kkanot	31
79	Kowcio_	31
79	scarletwarrior1	31
83	oscminus	30
83	claivin	30
83	Xclax101	30
86	_Dean_123	29
86	mwrty	29
86	DaviusMaximoose	29
89	Hyp3rion_	28
89	HolyVenom	28
91	_Virify_	27
91	_Nuf	27
91	RobotMinion101	27
91	KliBeast21	27
91	djancak	27
96	Manaateee	26
97	FreddyFart	24
98	Lil_Breadboy	23
98	RebytreGT	23
98	Afinnity	23
98	fluddd	23
102	ColeSnyder	22
102	Isaac70096	22
102	Tjhodskins19	22
102	NotKaden_	22
102	Racengan	22
107	TechnoNinja64	21
108	NatalieTW	20
108	elicobnoah	20
108	Neemuuri	20
111	bigstankyy	19
111	Incinere	19
111	TheSecondLord	19
111	WyngGoy	19
111	KingMatthew506	19
111	Nicserso	19
117	Ryan_GEMS	18
117	BoraMC	18
117	tortfeezy	18
117	silverpopcorn	18
117	AssFullaCum	18
117	_KuruKuru	18
123	G1ldor	17
123	salvinia	17
125	heysushii	16
125	Merv__	16
125	NinjaKnifeKill	16
125	Bumpy419	16
125	GooseWithin	16
125	Goat_Man512	16
131	FishisTTV	15
132	Jakobo1337	14
132	WET_WET_WET	14
132	yulgur1	14
132	_Hayt	14
132	m2wa	14
132	1442	14
132	CornOnTheCobalt	14
132	DontHaveKick	14
132	Skippeh	14
132	WinterYoke	14
142	fr0stss	13
142	obzii	13
142	trexgb	13
145	kaziroki	12
145	SuperPooch06	12
145	magmaniacmc	12
145	Choco_Spy	12
145	Dogcorn69420	12
150	Forcolp	11
150	Decaying_Lotus	11
150	UrbanPlanningEx	11
153	EMC_	10
153	CranialBlowout	10
153	Krowuss	10
153	BronkerBrum	10
153	ApophisNova	10
153	the_russell1611	10
153	Soap_Bender	10
153	cog	10
153	33sudo	10
153	_Tilariel_	10
153	MyNamaSheff	10
164	Euclidoris	9
164	Comma__	9
164	Master_Kol	9
164	intropass	9
164	__TheNorseMan__	9
164	benediktine1	9
164	out1s	9
164	Leyna3	9
164	Kura2218	9
164	IvarEXE	9
164	Njensen7	9
164	Erased_Identity	9
164	smogfrog	9
177	Lukeee33	8
177	rpmm	8
177	Z3braYTIL	8
177	gloominq	8
177	wTXop	8
177	LilyNova	8
177	Kars_Requiem	8
177	FishyBoy3811	8
177	ReSynced	8
177	Deathkob	8
177	FreakGenius	8
177	verynothing	8
177	sp00ky_ghost977	8
177	TheEnderMan548	8
177	07shiny	8
177	ediballbearings	8
177	jnp_gaming	8
194	JohnnyFyes	7
194	ProbablyNick	7
194	ThePoliteG	7
194	Xalithia	7
194	XboxPanda	7
194	Kakolbus	7
194	burbankbuilder28	7
194	Olib3ar	7
194	IamCL4SSY	7
194	luseis	7
194	bruh072	7
194	Segotep999	7
194	Spenduh	7
194	NamelessGG	7
194	Eczbek	7
194	2blox_	7
210	SmashingPump	6
210	ECstardust	6
210	_Z3RIX_	6
210	500am	6
210	set67	6
210	Hanselhoof	6
210	_Magdo_	6
210	mariominejedi	6
210	reiwai	6
210	Eczbox	6
210	domagawha	6
210	blackeemperor	6
210	mihimihimihi	6
210	Cocoamallows	6
210	Kyrum2169	6
210	hermmm_	6
226	shineh10	5
226	xXTheWolfmanXx	5
226	ShedJr_	5
226	aikabot	5
226	Paintz	5
226	mimbo1211	5
226	Arceus1975	5
226	Invisie	5
226	gustarlep	5
226	DarlaMeow	5
226	weabis	5
226	__Auspicious	5
226	Eraxa	5
226	_i_ERROR_i_	5
226	skitzxo	5
241	fanofbands101	4
241	diamondgolem35	4
241	Swexti	4
241	corvidpartyfor6	4
241	emrekn	4
241	Skylord_Luke	4
241	Rasmanden	4
241	True_Clipse	4
241	That_tech_head	4
241	Deodorante	4
241	_Meow_Mix	4
241	_Yonk_	4
241	ProbsNotNova	4
