rank	username	minecraft:dropped/minecraft:warped_fungus_on_a_stick
1	Smoke____	12
2	pintsizedrogue	6
2	beeperbeeper5	6
4	joethahobo	4
4	Fullut	4
4	Zinkacide	4
7	Mahoose	3
7	Blaiku	3
7	Spacewardharpy7	3
7	monky_irl	3
11	TheSecondLord	2
11	Inchef	2
11	Werbe	2
11	Eraxa	2
11	djancak	2
16	_Virify_	1
16	eitanzaki	1
16	CoffeeNoir	1
16	rarrq	1
16	mwrty	1
16	ROY4LE	1
16	noam464	1
16	Jackattack53	1
16	thewindmillman	1
16	Hyp3rion_	1
16	BasedEphex	1
16	EveryonesUncle	1
16	lillips	1
16	DarlaMeow	1
16	Frozil12	1
16	Segotep999	1
16	Luigipunch989	1
16	Enderslayerxz3	1
