rank	username	minecraft:dropped/minecraft:red_banner
1	beeperbeeper5	71
2	SteveCraftBlocks	63
3	Steelynan	50
4	Lez_	36
5	joethahobo	32
6	EveryonesUncle	29
7	Soplight	28
8	Merv__	24
9	Fuad_R	23
10	luseis	22
11	Lord_Jord	20
12	PhantomsGhost_	15
12	MattieHD	15
14	Da_Boss_Rani	12
15	Huwulling	11
15	Legendosh	11
17	_Virify_	9
18	Mahoose	8
19	kekhon	6
19	Kowcio_	6
19	Kubeusz2010	6
19	cichy096	6
19	PlasticOtari	6
24	ShedJr_	5
24	Nicky19	5
26	Mattesco	4
26	TheShyPig	4
26	Akoot_	4
26	xzvu	4
30	CompAir	3
30	LeonelSalamanca	3
30	jnp_gaming	3
33	Mr_Byzantine	2
33	Werbe	2
33	Dakar_	2
33	WYFYoyo	2
37	pintsizedrogue	1
37	SmashingPump	1
37	ECstardust	1
37	KingFaenor	1
37	6king6colt6	1
37	I_Am_Mushkin	1
37	diamondgolem35	1
37	SaucyDark	1
37	eitanzaki	1
37	LionelHutzESQ	1
37	Blackberry1310	1
37	TheSecondLord	1
37	Jakobo1337	1
37	Norrhede	1
37	SirPiccardo	1
37	pappaberg	1
37	thgrocks	1
37	halfwayup	1
37	_Bguette_	1
37	NameGenerat0r	1
37	FreakGenius	1
37	Blu3beast	1
37	Nycteus_	1
37	Spacewardharpy7	1
37	YungMaki	1
37	ediballbearings	1
37	Sheldor097	1
37	jcool7	1
37	MilleGrug	1
37	ZoomieZoomie	1
37	EcksD	1
37	Sral7	1
