rank	username	minecraft:dropped/minecraft:oak_planks
1	Spacewardharpy7	61878
2	noam464	9390
3	EcksD	2769
4	Di_infiri	2577
5	HellsSponge	2326
6	eitanzaki	2146
7	thewindmillman	1617
8	Frxnkz	847
9	Freak_Genius	783
10	Wowful	696
11	lordpipe	613
12	Racengan	598
12	CSG_Haru	598
14	beeperbeeper5	572
15	Frozil12	546
16	gcaisawesome	531
17	Zoeyfortnite	508
18	Z3braYTIL	489
19	Hisiste	486
20	Blackberry1310	482
21	FreddyFart	471
22	JEWISHBadenBeele	457
23	Blaiku	449
24	set67	434
25	diamondgolem35	416
26	__Auspicious	402
27	YungMaki	391
28	GingerNeutron	378
29	chipklip	376
30	jnp_gaming	371
31	FishisTTV	367
32	Vetral1	352
33	thescout7	347
34	KingMatthew506	342
35	PlzNoBM	336
36	Soap_Bender	326
37	Quaintster	305
38	El_Jalapeno	299
39	BigMoneyH	297
40	I_Am_Mushkin	290
40	Marbz_	290
40	Miko_Fullbuster	290
43	Spenduh	270
44	rarrq	263
45	himak1	256
46	EMC_	253
47	SkateboardR6	251
48	WyngGoy	246
49	Skylord_Luke	239
50	eiC_	236
51	kekhon	234
51	xxPipperDipperxx	234
53	Xclax101	233
54	Werbe	232
54	AssEatrAndLicker	232
56	EveryonesUncle	231
57	Blu3beast	224
58	__tomato	223
59	fkGrim	218
60	Incinere	217
61	zmpeg	216
62	ChampBoii	208
63	Syropatathe	200
64	JMK208	196
65	Hyp3rion_	195
66	Jackattack53	194
67	Groovy_MoonBird	193
67	stavgod	193
67	Shin69	193
70	KliBeast21	190
71	Covalents	189
71	lcvezra	189
73	MovingFish7	187
74	TechnoNinja64	185
75	wTXop	184
76	mick407	178
77	lillips	175
78	hcb238	169
79	Mahoose	167
80	BlancoFlaco	163
81	stahouo	162
82	_8man	161
83	joethahobo	153
83	Kyrum2169	153
83	oxfordschool	153
86	500am	150
87	Sky_light_KING	149
88	Gingayy	144
89	Groundler	142
90	_Dean_123	141
91	emrekn	140
91	Akoot_	140
93	T045RTY	139
93	fr0stss	139
93	djancak	139
96	Inbefour	138
97	Arceus1975	137
97	xo_Marren_xo	137
99	Awyrlas	136
100	Winklepicker279	130
101	TTNG	129
101	DarkS0L	129
103	_Nuf	128
103	Powowowow	128
105	301851	127
106	kars0n	122
106	jewbacaman	122
106	masskedman	122
109	Natofthese	121
110	fallingemma	119
111	Stynxy	118
112	XboxPanda	117
113	seanitoo	116
113	TheRealGameBoy24	116
115	teslawolf38	114
116	Batoser	113
117	MinerDec	111
117	wrinkledpiglet	111
119	Nicky19	110
119	diggydog67	110
121	Quotary	104
122	picardred	102
122	benediktine1	102
124	SSytex_X	101
124	AltnumberF4	101
126	Merv__	100
126	Rasmanden	100
126	Warlord324	100
126	Smoke____	100
130	Auseawesome	98
130	Bumpy419	98
132	prelutrinae	96
132	Nach0Bear	96
134	Sqwishy	95
134	kinas45y5	95
136	Ardennes	93
137	PuFY	92
137	sxc_	92
139	Healthing	91
140	error10101	90
140	Zippyzam	90
142	hm947	89
143	Dogcorn69420	88
144	awesomeoneme	86
144	PeteO1995	86
146	_Virify_	85
146	CollinMH06	85
148	SellyZ	84
148	cichy096	84
150	_Razar	82
150	CoffeeNoir	82
150	Tmb1	82
153	seramalen	81
153	QueenShuvi	81
153	fluddd	81
153	JoCoLi	81
153	laron58	81
158	Inchef	80
158	Kowcio_	80
158	jcool7	80
161	TheSecondLord	76
161	h2p_emrld	76
163	nocturne78	75
163	PigDab	75
165	cog	74
166	0nly_sn1per	73
167	Corbsman	72
167	NameGenerat0r	72
169	Snowflowe	71
169	GoofyBread	71
169	ProbsNotNova	71
169	Nicserso	71
173	r123moore	68
173	verynothing	68
175	mwrty	67
175	al626win52	67
177	Leonidas2k17	66
177	Kubeusz2010	66
179	Digcove	65
179	GravitySaint	65
181	Azorathum	64
181	UltimuShadow	64
181	NatrixxddxYT	64
181	Mimiir345	64
181	MinttyFressh	64
181	StanceTB	64
181	intropass	64
181	Gamergirl420628	64
181	Green__Terrorist	64
181	Babushka0430	64
181	ceAndy200	64
181	MilleGrug	64
181	JasmineGK	64
194	Chromary	63
195	ItzYaBoiPicard	62
195	MightyWertu	62
195	Nekomin0	62
198	TheThomas69	61
199	HavickMC	60
199	SokaOtaku	60
199	lizardfightclub	60
199	RoyalDorrr	60
199	Eraxa	60
204	ElKaySVK	57
204	fffMike	57
206	Fullut	56
207	MrAdamant209	55
207	Huic_ostiarius	55
207	TitanCrafting	55
207	HesDemonPants	55
211	Invisie	54
211	_TCARREIRA_	54
213	Flores991	53
214	TableTim	52
214	xambsam	52
214	Njensen7	52
217	pintsizedrogue	50
217	Isaac70096	50
217	burbankbuilder28	50
217	FallenCorps	50
221	Sleek_Storm_721	49
222	Chickenchaser2	48
222	NotKaden_	48
222	Toriankel	48
222	Cocoamallows	48
226	ImpavidArcher	47
226	RobotMinion101	47
228	livingdaydreams	46
228	NomadicRobin_	46
230	SaltineDream	44
230	Ssor69	44
230	_naturell	44
230	Katsuragi0243218	44
230	aao001	44
235	ColeSnyder	43
235	ThePoliteG	43
235	ProfessorBee	43
235	calajimi	43
239	Iagoku	42
239	NinjaKnifeKill	42
239	urbeans	42
239	Paintz	42
239	fxiryglitch	42
239	Dreamdbr14	42
239	smogfrog	42
246	Franco093	41
246	Hormones	41
246	boog4loo	41
246	garrykasparow	41
246	Legendosh	41
251	FirsTimeGamingTV	40
251	platinumzero	40
251	Ximid	40
251	Matorz	40
251	Strawbapple	40
251	Ezekson	40
251	trexgb	40
258	ShedJr_	39
258	Swexti	39
260	Rich_Kat	38
260	egglapras	38
260	WET_WET_WET	38
263	FishyBoy3811	37
263	RodSerlingCringe	37
263	33sudo	37
266	Malorn_Aetherius	36
266	Pickel_Lord	36
268	MattieHD	35
268	slkiey	35
268	Zany0	35
271	Ze1ig	34
271	__TheNorseMan__	34
271	arcanemagic	34
271	StylesK	34
271	trixterrx	34
271	gustarbite	34
277	Swalt	33
277	Xalithia	33
277	Leyna3	33
277	m9_meltdown_	33
281	libbydalez	32
281	DarlaMeow	32
283	Lauratheking	31
283	gabriels543	31
283	yaboo88	31
283	Vellu21	31
287	KomputerDude	30
287	EfficientC52	30
287	RedcatVII	30
287	SquidZooka2	30
291	Drlzyy	29
291	M_Patata	29
291	Donutt	29
291	MasterNueve	29
291	sp00ky_ghost977	29
291	IdeallyGrey	29
291	Apicomplexa	29
298	q_wq	28
298	CyrusIsTired	28
298	Dali1465	28
