rank	username	minecraft:dropped/minecraft:deepslate_redstone_ore
1	Smashic	155
2	groofles	129
3	Segotep999	127
4	Lez_	105
5	Jackattack53	63
6	ECstardust	61
7	noam464	57
8	Kowcio_	43
9	catandmoose	42
10	Hyp3rion_	38
11	crashomon	36
12	EcksD	35
13	beeperbeeper5	33
13	thewindmillman	33
15	Krowuss	32
15	skitzxo	32
17	Buuck_	31
18	pretty_pink_reno	29
19	Fuad_R	28
20	k_ce	25
21	HUNTERmaun	22
21	500am	22
23	hanaryheatwave	19
24	luseis	18
24	BungalowBeet	18
26	PazinGaming	17
27	NoHaHeHa	16
27	CoffeeNoir	16
29	TheSecondLord	15
29	shadowthemonkey	15
29	DairyNickel756	15
32	myaccountwasgone	14
32	Kakolbus	14
32	Manaateee	14
35	_Mythic____	13
36	MAns_44	12
37	Secret_Canary	11
37	Mattesco	11
37	VittoValenttino	11
37	MilleGrug	11
41	YungMaki	10
41	Legendosh	10
43	00000000-0000-0000-0009-01fe065167f0	9
44	77Holly7	8
45	hm947	7
45	Shortest_Man	7
45	Spacewardharpy7	7
48	Lazy_geniusig	6
48	12Magner05	6
48	Yamdalorian	6
51	MattieHD	5
51	fw3xy74	5
51	truonggojo777	5
54	KarlKaek	4
54	diamondgolem35	4
54	gren_ben	4
54	Alteriity	4
54	Skylord_Luke	4
54	Werbe	4
54	fluddd	4
54	StarCookiees_	4
54	_i_ERROR_i_	4
54	Nicserso	4
64	H0UNDFRMH3LL	3
64	CLG_Kata	3
64	RoskobiOne	3
64	SmashingPump	3
64	Crizma_	3
64	PaperCanvas	3
64	lordpipe	3
71	EMC_	2
71	FiguraDei	2
73	joethahobo	1
73	Sleepy_Time_	1
73	MinttyFressh	1
73	_witch_craft_	1
73	Masssonnn	1
73	Inchef	1
73	hcb238	1
73	Jonafrog99	1
73	AlexxO_o	1
73	Samificator	1
73	EdGalbraith	1
73	EveryonesUncle	1
73	emreknugrlu	1
