rank	username	minecraft:dropped/minecraft:crossbow
1	sp00ky_ghost977	1031
2	noam464	320
3	Drlzyy	228
4	HellsSponge	176
5	beeperbeeper5	171
6	thewindmillman	165
7	Historical_Sand	164
8	NameGenerat0r	142
9	eitanzaki	88
9	YungMaki	88
9	Soplight	88
12	Spacewardharpy7	78
13	Smoke____	73
14	Werbe	60
15	EMC_	57
16	12Magner05	55
17	Di_infiri	49
18	EcksD	44
19	RebelAndroid	43
19	Da_Boss_Rani	43
21	Fuad_R	42
22	_Virify_	41
23	Skippeh	38
24	Segotep999	37
25	Sral7	34
26	audiocracked	32
26	FelixPSY375	32
28	chipklip	29
29	rarrq	28
30	Menthas	27
31	Hail_the_wombat	24
32	Alteriity	22
33	kekhon	21
34	FirsTimeGamingTV	20
34	PigDab	20
36	Fullut	19
36	pixelviolin	19
38	Mahoose	18
38	Blackberry1310	18
38	Lord_Jord	18
41	Onennon	17
41	Blaiku	17
43	WyngGoy	16
43	Eraxa	16
45	T045RTY	15
45	TheSecondLord	15
45	Hyp3rion_	15
45	Akoot_	15
49	mwrty	14
49	Jonte0599	14
51	pintsizedrogue	13
51	jnp_gaming	13
51	vandmanden	13
51	TechnoNinja64	13
55	PhantomsGhost_	12
55	ThePoliteG	12
55	emrekn	12
55	masskedman	12
59	fw3xywashere	11
60	ItsColin11	10
60	Freak_Genius	10
62	h2p_emrld	9
63	I_Am_Mushkin	8
63	livingdaydreams	8
63	fluddd	8
63	TheOuterCore	8
67	ImpavidArcher	7
67	Hpdinosaur	7
67	500am	7
67	Groundler	7
67	geekbird	7
67	Sheldor097	7
67	Enderslayerxz3	7
74	dimondking777	6
74	joethahobo	6
74	Jackattack53	6
74	JitteryJared2	6
74	Rebytre	6
74	yulgur1	6
74	NomadicRobin_	6
74	Lutres_Torane	6
74	Blu3beast	6
74	Frozil12	6
74	SkateboardR6	6
74	kinas45y5	6
86	error10101	5
86	Bumpy419	5
86	HolyVenom	5
86	Racengan	5
86	lordpipe	5
86	jcool7	5
86	KingMatthew506	5
86	oxfordschool	5
86	BreadBacon	5
86	Legendosh	5
96	Groovy_MoonBird	4
96	RoskobiOne	4
96	Merv__	4
96	teslawolf38	4
96	Nicky_H225	4
96	wiqor	4
96	M_Patata	4
96	BigMoneyH	4
96	Winklepicker279	4
96	ooga47	4
96	RodSerlingCringe	4
96	Maenara	4
96	EveryonesUncle	4
96	_Karmaa	4
96	claivin	4
96	Xclax101	4
96	stahouo	4
96	Luigipunch989	4
96	Ezekson	4
96	EcksDofficial	4
116	hm947	3
116	Natty	3
116	Euclidoris	3
116	set67	3
116	eviltunix	3
116	gcaisawesome	3
116	Zaridey	3
116	Kakolbus	3
116	CollinMH06	3
116	valiSW	3
116	Arceus1975	3
116	Snowflowe	3
116	Zythose	3
116	ApophisNova	3
116	AlexxO_o	3
116	sammidk	3
116	lillips	3
116	Quaintster	3
116	Nycteus_	3
116	MasterNueve	3
116	stavgod	3
116	TheEnderman548	3
116	KG1999	3
116	__tomato	3
116	fffMike	3
116	RadarHz	3
116	MyNamaSheff	3
143	Cowison	2
143	AuroraValkyrie	2
143	Dedalus36	2
143	Tolhart	2
143	Wooptey	2
143	KomputerDude	2
143	Lez_	2
143	Myszoaz	2
143	MSK__	2
143	Auseawesome	2
143	jushykins	2
143	m_be9	2
143	MinttyFressh	2
143	corvidpartyfor6	2
143	Dali1465	2
143	Paintz	2
143	eiC_	2
143	XboxPanda	2
143	Marbz_	2
143	MyNameIsJobo	2
143	Norrhede	2
143	MangoTheFish	2
143	MustardDrinker	2
143	Skylord_Luke	2
143	fred870d	2
143	Moofyman	2
143	FishyBoy3811	2
143	Rasmanden	2
143	SpouHn	2
143	Fuhrer_Teemo	2
143	Deathkob	2
143	The_slideV3	2
143	Shogunite	2
143	QueenShuvi	2
143	Cyntrical	2
143	MightyWertu	2
143	Barlycorn	2
143	wwwwinnebagoooo	2
143	Dusk_95	2
143	LordSpeed37	2
143	IdeallyGrey	2
143	UCP_TheKingK	2
143	djancak	2
143	ediballbearings	2
143	Juh1s	2
143	Spenduh	2
143	stellarjay	2
143	Winston_Ingram	2
143	mawileite	2
143	Eczbek	2
143	Xi_J1nping	2
143	momis24	2
143	Jordan_R	2
196	peachfuzz1267	1
196	MixerDixer	1
196	dabloons	1
196	milkedit	1
196	chimpmunker	1
196	KarlKaek	1
196	diamondgolem35	1
196	IronArshXS	1
196	tuckerdoodle	1
196	jimintyy	1
196	Batman922	1
196	NinjaKnifeKill	1
196	H72l9w	1
196	oreee	1
196	ChampPog_	1
196	moertymoertan	1
196	Vizzoid	1
196	Prodiginus	1
196	dopplexd	1
196	ratglock	1
196	Comma__	1
196	jacxhadow	1
196	BobDeBouwer1337	1
196	YungJakobo	1
196	Ardennes	1
196	MattieHD	1
196	boog4loo	1
196	Smashic	1
196	Z3braYTIL	1
196	Kkanot	1
196	UncreativeArtist	1
196	thescout7	1
196	egglapras	1
196	Awyrlas	1
196	fade_emerge78823	1
196	Inchef	1
196	ROY4LE	1
196	r123moore	1
196	Covalents	1
196	Ecplosive	1
196	ReverendSmith	1
196	Avermu	1
196	CarltheCuck	1
196	Chromary	1
196	WET_WET_WET	1
196	_Buffo	1
196	pappaberg	1
196	SokaOtaku	1
196	RobotMinion101	1
196	Kynigito	1
196	wrinkledpiglet	1
196	BRRRN179	1
196	Vetral1	1
196	TheShyPig	1
196	_naturell	1
196	Drewen24	1
196	Leyna3	1
196	Sky_light_KING	1
196	Nicky19	1
196	ILoveCarrot	1
196	AuroraSkies	1
196	SpookyDraggin	1
196	gustarbite	1
196	proxivitoid	1
196	YungWali	1
196	GoofyBread	1
196	MyNameIsDakar	1
196	MustaLoordi	1
196	GravitySaint	1
196	RedcatVII	1
196	Toriankel	1
196	Hisiste	1
196	MovingFish7	1
196	ElKaySVK	1
196	verynothing	1
196	Cocoamallows	1
196	Razzgriz	1
196	33sudo	1
196	Nagasaki_Riku	1
196	Decaying_Lotus	1
196	_Tilariel_	1
196	SvenskaHugo	1
196	yatsuta	1
196	Kowcio_	1
196	SSytex_X	1
196	SammiWolfGirl	1
196	Dogcorn69420	1
196	Dreamdbr14	1
196	MilleGrug	1
196	Njensen7	1
196	Steelynan	1
196	athereall	1
196	alderban107	1
196	Nicserso	1
196	little_dUki	1
196	Powowowow	1
196	UrbanPlanner1978	1
196	2blox	1
196	Teebone15	1
196	JohnPrice	1
196	diggydog67	1
