rank	username	minecraft:dropped/minecraft:light_gray_terracotta
1	thewindmillman	73153
2	EcksD	2873
3	Freak_Genius	1484
4	Spacewardharpy7	946
5	mwrty	761
6	Inbefour	593
7	RodSerlingCringe	414
8	oxfordschool	258
9	DarlaMeow	257
10	beeperbeeper5	224
11	Akoot_	192
12	eitanzaki	191
13	CoffeeNoir	151
14	MilleGrug	142
15	stahouo	128
15	Smoke____	128
17	RebelAndroid	120
18	YungMaki	108
19	Rebytre	97
20	Hyp3rion_	91
21	rarrq	90
22	kekhon	84
23	MeetTheWollo	73
24	Barlycorn	71
25	lordpipe	67
25	Soplight	67
25	PortlyPete69	67
28	seanitoo	64
28	RatatJuice	64
28	ProfessorBee	64
28	KingMatthew506	64
28	Sral7	64
33	Kamflame10	57
34	noam464	51
34	Blaiku	51
36	Werbe	44
37	El_Jalapeno	36
38	Rumpletaezer	33
39	mariominejedi	31
40	TheSecondLord	26
41	lillips	24
42	Swexti	21
43	Skylord_Luke	20
44	Di_infiri	18
45	Wooptey	13
46	sxc_	12
46	the_russell1611	12
48	_Virify_	11
48	Marbz_	11
50	PlasticOtari	9
51	Merv__	8
51	Legendosh	8
53	500am	7
53	MightyWertu	7
55	chipklip	6
55	MyNameIsDakar	6
55	Frozil12	6
55	djancak	6
59	EMC_	5
59	SuperPooch06	5
59	fluddd	5
62	PhantomsGhost_	4
62	benediktine1	4
62	Kakolbus	4
62	_Karmaa	4
66	Jovaphobic	3
67	pintsizedrogue	2
67	Sabby65	2
67	EveryonesUncle	2
67	Blu3beast	2
67	MovingFish7	2
67	ElKaySVK	2
73	titanlax	1
73	thescout7	1
73	SellyZ	1
73	gcaisawesome	1
73	ImDisconnected_	1
73	AnnieBathory	1
73	Onennon	1
73	QueenShuvi	1
73	Hermanni__	1
73	BreadBacon	1
73	UrbanPlanner1978	1
