rank	username	minecraft:dropped/minecraft:pink_shulker_box
1	Werbe	30
2	lordpipe	16
2	MakeHistory157	16
4	joethahobo	15
5	Shogunite	12
6	EcksD	9
7	Nicky19	8
8	kekhon	7
9	eitanzaki	6
10	Blaiku	5
10	Miko_Fullbuster	5
12	Mahoose	4
12	Di_infiri	4
12	lillips	4
12	Blu3beast	4
16	SteveCraftBlocks	3
16	fluddd	3
18	Swexti	2
18	_Dean_123	2
18	thescout7	2
18	MyNameIsJobo	2
18	Hyp3rion_	2
18	AssFullaCum	2
18	Soplight	2
25	Mr_Byzantine	1
25	PhantomsGhost_	1
25	teslawolf38	1
25	LovelyDane	1
25	diamondgolem35	1
25	ImpavidArcher	1
25	Incinere	1
25	peach0s	1
25	Historical_Sand	1
25	beeperbeeper5	1
25	500am	1
25	Fullut	1
25	Kkanot	1
25	Tjhodskins19	1
25	gcaisawesome	1
25	r123moore	1
25	loveseeker	1
25	thewindmillman	1
25	MangoTheFish	1
25	k1ngGilgamesh	1
25	fred870d	1
25	stuy9	1
25	madderfall	1
25	YungWali	1
25	HellsSponge	1
25	claivin	1
25	censorsheep	1
25	Frozil12	1
25	rezi	1
25	NotMeowMix	1
25	ElKaySVK	1
25	WyngGoy	1
25	sadvavilloso	1
25	YungMaki	1
25	djancak	1
25	Spenduh	1
25	fffMike	1
25	Hermanni__	1
25	Ezekson	1
25	oxfordschool	1
25	_AAZAR	1
25	jnp_gaming	1
25	TechnoNinja64	1
25	EcksDofficial	1
25	Kateesaur	1
