rank	username	minecraft:dropped/minecraft:decorated_pot
1	MyMawgDonaldsGon	58
2	thewindmillman	17
3	k_ce	11
4	Secret_Canary	8
4	Spaghettatron	8
6	CLG_Kata	5
6	oscminus	5
6	Kowcio_	5
6	Steelynan	5
10	Mr_Byzantine	2
10	Merv__	2
10	Caribouse	2
10	noam464	2
10	KamFurnace	2
10	Enderxz3	2
16	shineh10	1
16	acatter	1
16	net_flex	1
16	MattieHD	1
16	EveryonesUncle	1
16	cutelilreno	1
16	Pumpkin_P_Patch	1
16	00000000-0000-0000-0009-01fe065167f0	1
