rank	username	minecraft:dropped/minecraft:oak_trapdoor
1	Spacewardharpy7	6475
2	thewindmillman	3114
3	noam464	1525
4	NomadicRobin_	948
5	vandmanden	643
6	Kakolbus	514
7	eitanzaki	384
8	Jackattack53	347
9	AuroraValkyrie	300
10	Racengan	207
11	XboxPanda	191
12	EveryonesUncle	171
13	Werbe	163
14	beeperbeeper5	160
14	FreakGenius	160
16	EcksD	156
17	_Virify_	150
18	Kyrum2169	139
19	Hyp3rion_	134
20	ShedJr_	132
21	Inbefour	128
21	Deathkob	128
21	the_russell1611	128
24	Kferno	101
25	HellsSponge	94
26	Secret_Canary	81
26	Soap_Bender	81
28	MousePlays	79
29	Mahoose	78
30	_Wannabe_	72
31	Tersea_	64
31	Dogcorn69420	64
33	Jonafrog99	62
34	Groundler	60
35	_Mythic____	55
36	EMC_	50
36	Manaateee	50
38	Archsam	49
39	PigDab	48
40	Eraxa	44
41	luseis	42
41	jcool7	42
43	Blackberry1310	40
43	stavgod	40
43	Segotep999	40
46	SpaceGrenadier	38
47	SteveCraftBlocks	37
48	FishyBoy3811	36
49	_Nuf	34
49	Steelynan	34
51	CoffeeNoir	33
52	MightyWertu	32
53	Zee_zey	31
54	lorpus	28
54	PlasticOtari	28
56	rarrq	27
57	Crowman1	25
58	victorLIE	24
59	Di_infiri	22
59	Cocoamallows	22
61	ProfessorBee	20
62	77Holly7	19
63	livingdaydreams	18
63	burbankbuilder28	18
63	Xclax101	18
66	Lez_	16
66	MovingFish7	16
68	groofles	15
68	Yamdalorian	15
70	Smashic	14
70	RebytreGT	14
70	wobn	14
70	Blu3beast	14
74	Groovy_MoonBird	13
74	Weepingbiel	13
76	I_Am_Mushkin	12
76	myaccountwasgone	12
76	Wooptey	12
76	Awyrlas	12
76	intropass	12
76	2Stout	12
76	crashomon	12
76	yaboo88	12
76	marumochis	12
76	lordpipe	12
86	joethahobo	11
86	DaviusMaximoose	11
86	Skylord_Luke	11
89	royal_2	10
89	EdGalbraith	10
89	FreddyFart	10
92	SmashingPump	9
92	zToasty69z	9
92	_Karmaa	9
92	Soplight	9
92	calamariclam_I	9
97	WinterSepp	8
97	xPixelRainx	8
97	emrekn	8
97	NotKaden_	8
97	Luminad3	8
97	fluddd	8
97	Warlord324	8
97	Spankathor	8
97	DittoProbably	8
97	Ezekson	8
97	Powowowow	8
108	Bumpy419	7
108	txxskx	7
108	yulgur1	7
111	Rich_Kat	6
111	kekhon	6
111	_Dean_123	6
111	M_Patata	6
111	True_Clipse	6
111	Lord_Zacler	6
111	AspenLightVT	6
111	radioactv_jelly	6
111	MasterNueve	6
111	TheEnderMan548	6
111	non089	6
122	Vizzoid	5
122	ROY4LE	5
122	fkGrim	5
122	YungMaki	5
122	ConnorDanky_	5
122	Zoeyfortnite	5
122	skitzxo	5
129	heysushii	4
129	_Huge_Male_	4
129	Harotio	4
129	Frozil20	4
129	6king6colt6	4
129	NotP0tato	4
129	elleparo	4
129	carloselpapii	4
129	cyrusisntgay	4
129	mwrty	4
129	Winklepicker279	4
129	Arceus1975	4
129	Snowflowe	4
129	Onennon	4
129	AlexxO_o	4
129	jewbacaman	4
129	Lord_Jord	4
129	audiocracked	4
129	NameGenerat0r	4
129	DanTheBuilderino	4
129	Blaiku	4
129	mihimihimihi	4
129	TitanCrafting	4
129	FishisTTV	4
153	pintsizedrogue	3
153	Mr_Byzantine	3
153	q_wq	3
153	tsohomie	3
153	ratglock	3
153	Hydro___________	3
153	fallingemma	3
153	Queen_Jalapeno	3
153	Rasmanden	3
153	Akoot_	3
153	Shogunite	3
153	pretty_pink_reno	3
153	Buuck_	3
153	Typadopoulos	3
153	SkateboardR6	3
153	Vorlice	3
153	WyngGoy	3
153	IdeallyGrey	3
153	SSytex_X	3
153	taengoos	3
153	annebolyn	3
174	JohnnyFyes	2
174	Merv__	2
174	TildaAndrea	2
174	Nucket	2
174	KarlKaek	2
174	Sabby65	2
174	_Razaria	2
174	Zippyzam	2
174	MoistMicrowave	2
174	Dark_Crusader21	2
174	titanlax	2
174	jushykins	2
174	wiqor	2
174	Fullut	2
174	slkiey	2
174	redikul	2
174	Gingayy	2
174	thescout7	2
174	Inchef	2
174	SellyZ	2
174	hcb238	2
174	olliebollie48	2
174	benediktine1	2
174	nstuartwilliams1	2
174	MyNameIsJobo	2
174	Norrhede	2
174	xambsam	2
174	Reneedium	2
174	Krowuss	2
174	Parcc	2
174	Felenov	2
174	ApophisNova	2
174	Dan_Scha	2
174	HoldThatPee	2
174	parodypatient	2
174	masskedman	2
174	kkatsuragi	2
174	LexMakesHistory	2
174	StinkyDiplomat	2
174	blackeemperor	2
174	LeEricc	2
174	_TCARREIRA_	2
174	PortlyPete69	2
174	PlzNoBM	2
174	y0shik	2
174	Mikael_Kuningas	2
174	Iamthejo	2
174	MyNamaSheff	2
174	AltnumberF4	2
174	Wanjibon	2
174	00000000-0000-0000-0009-01fc3bb26159	2
225	Jovaphobic	1
225	fanofbands101	1
225	SoosAmongus	1
225	BadenStayFly	1
225	dimondking777	1
225	BPTY4618	1
225	ECstardust	1
225	diamondgolem35	1
225	Iagoku	1
225	ImpavidArcher	1
225	Tolhart	1
225	Minimize501	1
225	Franco093	1
225	SyntheticSurgeon	1
225	lorywithay	1
225	Alteriity	1
225	YairZaki	1
225	ccormacs	1
225	heckface	1
225	Ozixar	1
225	dopplexd	1
225	Tombo2004	1
225	Malorn_Aetherius	1
225	ZigzagLily43042	1
225	ThePoliteG	1
225	Hetti301	1
225	MattieHD	1
225	Cortexia	1
225	Megarboh	1
225	Kkanot	1
225	Scathra	1
225	Touched_Bread	1
225	walll	1
225	TheDankPlatypus	1
225	FennYuzuna	1
225	Purplehere	1
225	0nly_sn1per	1
225	mariominejedi	1
225	SuperPooch06	1
225	Rumpletaezer	1
225	hanaryheatwave	1
225	GreedyFern8581	1
225	pappaberg	1
225	Hiryu27	1
225	Mattesco	1
225	Shortest_Man	1
225	TheShyPig	1
225	ougstur	1
225	TJawesome09	1
225	NoChumpChange	1
225	The_Quack_Dealer	1
225	Fuad_R	1
225	The_slideV3	1
225	queenalina123	1
225	Quaintster	1
225	SingedBread	1
225	__Auspicious	1
225	bndo	1
225	Pickel_Lord	1
225	StarCookiees_	1
225	SvenskaHugo	1
225	TheKingK_	1
225	djancak	1
225	MADDMASTA	1
225	NATE_the_HALO	1
225	fffMike	1
225	LeeMcGee30	1
225	erkada	1
225	Apicomplexa	1
225	BreadBacon	1
225	JasmineGK	1
225	Enderxz3	1
225	Legendosh	1
225	UrbanPlanningEx	1
225	TechnoNinja64	1
225	Sral7	1
