rank	username	minecraft:dropped/minecraft:enchanted_golden_apple
1	Di_infiri	24
2	thescout7	12
3	oxfordschool	10
4	DAD_1996	9
5	EcksD	8
6	joethahobo	7
6	Werbe	7
6	chipklip	7
9	_Dean_123	4
9	intropass	4
9	SammiWolfGirl	4
12	Tobinator_007	3
12	kekhon	3
12	Xalithia	3
12	Frozil12	3
12	Blaiku	3
12	Nicserso	3
18	Crowvens	2
18	maliraspberry	2
18	beeperbeeper5	2
18	500am	2
18	CyrusIsTired	2
18	thewindmillman	2
18	tobinwilliams	2
18	h2p_emrld	2
26	abramgray	1
26	zqw10k	1
26	Ailmast	1
26	eitanzaki	1
26	rarrq	1
26	Blackberry1310	1
26	ProfessorBee	1
26	zorin123	1
26	ayqq	1
26	Bumpy419	1
26	Sky_light_KING	1
26	Akoot_	1
26	Jiminie	1
26	The_Quack_Dealer	1
26	DarlaMeow	1
26	NameGenerat0r	1
26	Blu3beast	1
26	Xclax101	1
26	fluddd	1
26	Spacewardharpy7	1
26	SUN_DREAM	1
26	GlitchyPlate810	1
26	Deguns123	1
26	CalebDHawk	1
26	xX_Stalin69_Xx	1
26	Kubeusz2010	1
26	cichy096	1
26	TechnoNinja64	1
26	PlasticOtari	1
26	Smoke____	1
