rank	username	minecraft:dropped/minecraft:gilded_blackstone
1	YungMaki	389
2	pixelviolin	201
3	Marbz_	133
4	Frozil20	100
5	500am	60
6	pumpfonzo	59
7	PlasticOtari	55
8	Blaiku	47
9	Kakolbus	32
10	Legendosh	31
11	F_Uhre	25
12	rarrq	22
12	Crowman1	22
12	RealGroot	22
15	thewindmillman	20
16	Kowcio_	18
17	pintsizedrogue	17
18	Da_Boss_Rani	16
18	Hyp3rion_	16
18	Fuad_R	16
21	beeperbeeper5	11
22	Smashic	10
22	noam464	10
22	FreakGenius	10
25	Eraxa	7
26	LeDuctTape	6
26	benediktine1	6
28	T045RTY	5
28	Winklepicker279	5
28	CarltheCuck	5
31	joethahobo	4
31	Di_infiri	4
31	lordpipe	4
31	Enderxz3	4
35	Mahoose	3
35	bluefragmentt	3
37	eitanzaki	2
37	Secret_Canary	2
37	Akoot_	2
37	EveryonesUncle	2
37	xolstoi	2
42	FazeObama69	1
42	CoffeeNoir	1
42	mariominejedi	1
42	WET_WET_WET	1
42	ApophisNova	1
42	Dusk_95	1
42	djancak	1
42	jcool7	1
42	MyNamaSheff	1
42	FelixPSY375	1
42	Jimb0nat0r	1
