rank	username	minecraft:dropped/minecraft:jungle_log
1	thewindmillman	107408
2	Spacewardharpy7	15658
3	HesDemonPants	3386
4	EcksD	1984
5	Hyp3rion_	1913
6	TechnoNinja64	1725
7	noam464	1427
8	Freak_Genius	1269
9	RefluxRatio	1216
10	kekhon	1189
11	WET_WET_WET	960
12	Blackberry1310	955
13	EveryonesUncle	872
14	mwrty	750
15	Kamflame10	640
16	kinas45y5	621
17	Blaiku	585
18	joethahobo	524
19	Werbe	508
20	eitanzaki	489
21	Smoke____	467
22	Frozil12	395
23	Bandito_Roamer	376
24	Di_infiri	359
25	oxfordschool	341
26	himak1	300
27	Winklepicker279	289
28	Hermanni__	256
29	Racengan	216
30	Nagasaki_Riku	210
31	Steelynan	183
32	_Virify_	166
33	Uzbeki_John	160
34	SammiWolfGirl	153
35	DemTechAlpha	149
36	Mahoose	138
37	yulgur1	128
37	Njensen7	128
39	Nicserso	126
40	Quaintster	120
41	Maenara	116
42	Mr_Byzantine	114
43	Afinnity	112
44	KingMatthew506	105
45	Merv__	97
46	MightyWertu	93
47	Jackattack53	89
48	jnp_gaming	85
49	MovingFish7	68
50	Skippeh	65
51	diamondgolem35	64
51	livingdaydreams	64
51	Nach0Bear	64
51	PeteO1995	64
51	Eraxa	64
51	sadvavilloso	64
57	set67	62
58	ImpavidArcher	60
59	coobert42	59
60	SvenskaHugo	58
61	Blu3beast	49
62	Sleek_Storm_721	48
62	seramalen	48
64	AuroraValkyrie	44
65	lillips	43
65	_TCARREIRA_	43
67	RobotMinion101	36
68	HellsSponge	35
69	MilleGrug	34
70	Ezekson	31
71	_Hayt	28
72	Xclax101	26
73	RodSerlingCringe	24
74	Xalithia	23
75	PigDab	22
76	Akoot_	21
76	anbbang	21
78	Groovy_MoonBird	20
79	titanlax	18
79	Zythose	18
81	eiC_	16
81	lordpipe	16
81	YungMaki	16
81	Quotary	16
85	beeperbeeper5	15
85	sp00ky_ghost977	15
87	TheSecondLord	14
87	RadarHz	14
89	T045RTY	12
89	Legendosh	12
91	fred870d	11
91	Soplight	11
93	_Nuf	10
94	ZaneABrain	9
94	Jonte0599	9
96	FlashMigma	8
97	thescout7	7
97	MyNameIsJobo	7
97	Deerfoot	7
97	Dusk_95	7
101	Harotio	6
101	Drlzyy	6
101	Windo_licker	6
101	fluddd	6
105	NatrixxddxYT	5
105	Arceus1975	5
105	Bumpy419	5
105	chipklip	5
109	moonman169	4
110	Incinere	3
110	MSK__	3
110	Notta	3
110	NomadicRobin_	3
114	Prodiginus	2
114	YungJakobo	2
114	KingEgg1	2
114	HyperCave	2
114	Typadopoulos	2
114	IvarEXE	2
114	Chayula	2
121	PhantomsGhost_	1
121	I_Am_Mushkin	1
121	Franco093	1
121	ShedJr_	1
121	301851	1
121	rarrq	1
121	Vizzoid	1
121	Cryptacity	1
121	MattieHD	1
121	500am	1
121	boog4loo	1
121	Kubelz	1
121	GOOBERGABE04	1
121	Rumpletaezer	1
121	Hoid_the_Roamer	1
121	BronkerBrum	1
121	Onennon	1
121	epiksk8erduck	1
121	Myhym	1
121	Toiton	1
121	JESS_THE_RERE	1
121	Factoroni	1
121	EtherealEspresso	1
121	Kferno	1
121	VentiHilton	1
