rank	username	minecraft:dropped/minecraft:cut_red_sandstone
1	Manaateee	128
2	AdmiralSmoke	69
3	Lez_	45
4	KarlKaek	31
5	kekhon	21
6	RatatJuice	16
7	Kowcio_	7
8	SkateboardR6	4
9	TheWildMateo	3
10	joethahobo	2
10	Xclax101	2
12	ProfessorBee	1
