rank	username	minecraft:dropped/minecraft:orange_shulker_box
1	thewindmillman	149
2	Hyp3rion_	145
3	lillips	38
4	Jackattack53	22
5	Lez_	19
6	TechnoNinja64	15
7	Blackberry1310	14
7	Akoot_	14
9	Kowcio_	12
10	joethahobo	10
11	Blu3beast	9
12	Huwulling	8
12	luseis	8
14	noam464	7
14	alderban107	7
16	k1ngGilgamesh	5
16	Onennon	5
16	YungMaki	5
19	PhantomsGhost_	4
19	kekhon	4
19	Spenduh	4
22	eitanzaki	3
22	Mahoose	3
22	Di_infiri	3
22	jnp_gaming	3
22	AdmiralSmoke	3
27	Smashic	2
27	yulgur1	2
27	Tyrannosplart	2
27	Spacewardharpy7	2
27	Segotep999	2
27	_i_ERROR_i_	2
27	LeeMcGee30	2
27	Ezekson	2
27	ConnorDanky_	2
27	Legendosh	2
27	Jimb0nat0r	2
38	_Virify_	1
38	Apollo_993	1
38	teslawolf38	1
38	Frozil20	1
38	ExtraDumb	1
38	hm947	1
38	Batman922	1
38	Alteriity	1
38	PhantomBionic	1
38	rarrq	1
38	Crowman1	1
38	Auseawesome	1
38	m_be9	1
38	12Magner05	1
38	500am	1
38	Fullut	1
38	Kkanot	1
38	mwrty	1
38	thescout7	1
38	Awyrlas	1
38	fade_emerge78823	1
38	Motsaro	1
38	ROY4LE	1
38	gcaisawesome	1
38	r123moore	1
38	Chromary	1
38	hanaryheatwave	1
38	Zythose	1
38	burbankbuilder28	1
38	Skylord_Luke	1
38	Dennid	1
38	SaintJosie	1
38	hsgarbage23	1
38	wezzzi	1
38	audiocracked	1
38	DarlaMeow	1
38	FreakGenius	1
38	fluddd	1
38	OffWithTheirHead	1
38	lordpipe	1
38	MakeHistory157	1
38	Strangemonkey71	1
38	FadedSpade82	1
38	MineMaster0012	1
38	UCP_TheKingK	1
38	__tomato	1
38	lcvezra	1
38	SammiWolfGirl	1
38	SkinnyBois	1
38	Njensen7	1
38	EcksD	1
38	Nicserso	1
38	AltnumberF4	1
38	Powowowow	1
38	Zoeyfortnite	1
38	xolstoi	1
