rank	username	minecraft:dropped/minecraft:cooked_porkchop
1	thewindmillman	99678
2	joethahobo	52496
3	Hisiste	49235
4	Spacewardharpy7	41859
5	Ezekson	31352
6	EcksD	15740
7	noam464	13270
8	eitanzaki	9270
9	lordpipe	7411
10	Frozil12	6020
11	kekhon	5169
12	Mahoose	3925
13	Freak_Genius	2715
14	SteveCraftBlocks	2560
15	beeperbeeper5	2198
16	Aryamanee	2142
17	Mobstr	1440
18	EveryonesUncle	1252
19	Kaf1y	1112
20	ImpavidArcher	1109
21	Soplight	997
22	Akoot_	918
23	Smoke____	907
24	TheSecondLord	904
25	Blackberry1310	810
26	Eraxa	807
27	Chromary	631
28	PigDab	627
29	YungMaki	615
30	diamondgolem35	587
31	Blaiku	561
32	obzii	548
33	Wowful	477
34	CollinMH06	445
35	HellsSponge	433
36	Inchef	423
37	ROY4LE	414
38	lillips	398
39	rarrq	382
40	masskedman	349
41	set67	316
42	CheifJumbo	303
43	Historical_Sand	301
44	Spenduh	289
45	CoffeeNoir	286
45	egglapras	286
47	gcaisawesome	268
48	sammidk	263
49	_Boipl_	259
50	Pazantine	256
50	Coolbou0427	256
52	pintsizedrogue	255
53	kinas45y5	252
54	xo_Marren_xo	235
55	Enderslayerxz3	232
56	chipklip	228
57	Di_infiri	225
58	cog	215
59	Merv__	213
60	MilleGrug	211
61	Sleek_Storm_721	207
62	FelixPSY375	204
63	Hyp3rion_	203
63	burbankbuilder28	203
65	MaGro2010	197
66	00000000-0000-0000-0009-01f898304150	193
67	Xalithia	186
68	Werbe	182
68	AssEatrAndLicker	182
70	xxPipperDipperxx	179
71	HyperCave	173
72	Z3braYTIL	170
73	Lord_Jord	160
74	Blu3beast	159
75	Awyrlas	148
75	eviltunix	148
77	YungJakobo	146
77	NomadicRobin_	146
79	The_Quack_Dealer	141
79	monky_irl	141
81	JEWISHBadenBeele	138
82	12Magner05	135
82	Fullut	135
84	MangoTheFish	133
85	PhantomsGhost_	131
86	2Stout	129
87	gustarbite	128
88	John6970	115
89	pixelviolin	111
90	YoshikageBites	109
91	sebastiensaborio	108
92	Legendosh	95
93	gabriels543	94
94	jnp_gaming	92
95	Kowcio_	91
96	fluddd	90
97	Rebytre	88
97	HesDemonPants	88
