rank	username	minecraft:dropped/minecraft:smooth_quartz_stairs
1	noam464	587
2	Blaiku	224
3	eitanzaki	217
4	Blu3beast	167
5	Auseawesome	116
6	EcksD	82
7	skitzxo	63
8	Jackattack53	54
9	EveryonesUncle	51
9	emreknugrlu	51
9	AltnumberF4	51
12	beeperbeeper5	48
13	lordpipe	35
14	Hyp3rion_	31
15	SteveCraftBlocks	30
16	Marbz_	23
17	Lez_	22
17	NameGenerat0r	22
19	Merv__	11
19	Mattesco	11
21	ooga47	10
21	Spacewardharpy7	10
21	jnp_gaming	10
24	Frozil20	8
24	ImpavidArcher	8
24	luseis	8
27	Akoot_	7
28	Eraxa	5
29	Di_infiri	4
29	fragrantmonke444	4
29	TheTommyGun63	4
29	MakeHistory157	4
29	Soplight	4
29	KamFurnace	4
29	Jimb0nat0r	4
36	PazinGaming	3
36	Mahoose	3
36	rarrq	3
36	TheSecondLord	3
36	thewindmillman	3
36	Krowuss	3
36	OreTheBear	3
36	fluddd	3
36	Ezekson	3
36	cichy096	3
46	Prismyst	2
46	SpaceGrenadier	2
46	PigDab	2
46	FreakGenius	2
46	wwwwinnebagoooo	2
51	EMC_	1
51	kekhon	1
51	hanaryheatwave	1
51	Lord_Jord	1
51	Buuck_	1
51	Kura2218	1
51	Steelynan	1
51	mobunni	1
51	Zoeyfortnite	1
