rank	username	minecraft:dropped/minecraft:cherry_log
1	noam464	54275
2	Hyp3rion_	14521
3	skitzxo	2164
4	Jackattack53	812
5	Nekomin0	576
6	StarCookiees_	459
7	pretty_pink_reno	359
8	lorywithay	287
9	KarlKaek	244
10	Lez_	206
11	Apollo_993	86
12	FiguraDei	84
13	EveryonesUncle	77
14	Mr_Byzantine	64
14	Zxhir	64
14	lordpipe	64
17	AmmiDesu	55
18	k_ce	37
19	Fullbit_	27
20	PazinGaming	20
21	Fullut	19
22	Strats__	18
23	Archsam	17
24	Spenduh	16
25	Krowuss	14
26	Blaiku	9
27	gabukun_	6
28	bl1ss0	5
29	Merv__	4
30	Kakolbus	2
30	Manaateee	2
30	Kowcio_	2
33	_Huge_Male_	1
33	Secret_Canary	1
33	Nach0Bear	1
33	AstreaTSS	1
