rank	username	minecraft:dropped/minecraft:cake
1	Mahoose	872
2	kekhon	60
3	TechnoNinja64	52
4	Blackberry1310	34
5	Freak_Genius	25
6	Jiminie	23
7	noam464	21
8	Akoot_	17
9	Kamflame10	13
10	_Dean_123	12
11	RadarHz	11
12	500am	9
13	eitanzaki	8
13	thgrocks	8
15	RodSerlingCringe	7
16	_Virify_	6
16	Fullut	6
18	pintsizedrogue	5
18	lordpipe	5
18	pixelviolin	5
21	joethahobo	4
21	bloodbiter	4
21	Ardennes	4
21	Smashic	4
21	xxPipperDipperxx	4
21	Chromary	4
21	lcvezra	4
21	alderban107	4
29	ShedJr_	3
29	beeperbeeper5	3
29	SteveCraftBlocks	3
29	Resner	3
29	Godspirit249	3
29	Soplight	3
29	SammiWolfGirl	3
36	T045RTY	2
36	noodlepack	2
36	zcrk	2
36	Werbe	2
36	bpmm	2
36	lillips	2
36	claivin	2
36	Not_Insom	2
36	El_Jalapeno	2
36	Xclax101	2
36	fluddd	2
36	Blaiku	2
36	Lord_Doob	2
36	Ezekson	2
36	Enderslayerxz3	2
51	Hpdinosaur	1
51	HollieDaNugget	1
51	tramizu	1
51	titanlax	1
51	TheSecondLord	1
51	ProfessorBee	1
51	Keksandra	1
51	Xalithia	1
51	ROY4LE	1
51	2Stout	1
51	Di_infiri	1
51	thewindmillman	1
51	Hyp3rion_	1
51	Zythose	1
51	burbankbuilder28	1
51	regulator75	1
51	AlexxO_o	1
51	fxiryglitch	1
51	TheShyPig	1
51	Maenara	1
51	binman420	1
51	NomadicRobin_	1
51	NameGenerat0r	1
51	Spacewardharpy7	1
51	layabout100	1
51	Eraxa	1
51	KG1999	1
51	Azazel_Echo	1
51	Kowcio_	1
51	somegirl12_	1
51	Spenduh	1
51	stahouo	1
51	PortlyPete69	1
51	CalebDHawk	1
51	jcool7	1
51	Serval2000	1
51	kinas45y5	1
51	WYFYoyo	1
