rank	username	minecraft:dropped/minecraft:gray_dye
1	thewindmillman	922262
2	Hyp3rion_	185076
3	noam464	32156
4	EcksD	4361
5	eitanzaki	640
6	ConnorDanky_	328
7	ImpavidArcher	208
8	Di_infiri	192
8	Enderxz3	192
10	MattieHD	188
11	QuiCreans	128
12	That_tech_head	120
13	LexMakesHistory	110
14	Jackattack53	105
15	Yamdalorian	102
16	Auseawesome	101
17	beeperbeeper5	80
18	Ezekson	78
19	500am	67
20	Inchef	65
21	emreknugrlu	64
22	lordpipe	62
23	cuddlyMonster	61
24	EMC_	58
25	DarlaMeow	53
25	FreakGenius	53
27	Deathkob	49
28	mihimihimihi	41
29	Frozil20	37
30	StarCookiees_	34
31	kekhon	32
32	TheSecondLord	30
33	Akoot_	28
34	_Huge_Male_	18
34	tuckerdoodle	18
36	mwrty	16
37	CalebDHawk	15
38	Xclax101	11
39	MinuteMira	10
40	vandmanden	9
41	I_Am_Mushkin	8
41	Werbe	8
41	luseis	8
41	Optiprimus	8
45	SammiWolfGirl	7
46	Lez_	6
46	PlasticOtari	6
48	joethahobo	5
48	Onennon	5
50	r123moore	4
50	M_Patata	4
50	yaboo88	4
50	Blaiku	4
50	Spacewardharpy7	4
50	MasterNueve	4
50	Kowcio_	4
57	Hpdinosaur	3
57	Swexti	3
57	Fuad_R	3
57	_Karmaa	3
61	Sleek_Storm_721	2
61	Mahoose	2
61	Secret_Canary	2
61	MonitorLizards	2
61	Lord_Jord	2
61	El_Jalapeno	2
61	stavgod	2
61	Eraxa	2
61	Dogcorn69420	2
61	Wanjibon	2
71	RoskobiOne	1
71	AuroraValkyrie	1
71	mymayowasgone	1
71	RebelAndroid	1
71	ratglock	1
71	jushykins	1
71	Kakolbus	1
71	craaaash	1
71	TheSeismicDuck	1
71	_flud	1
71	Cocoamallows	1
71	SvenskaHugo	1
71	PortlyPete69	1
71	TheBananaKat	1
71	taengoos	1
71	Quotary	1
