rank	username	minecraft:dropped/minecraft:trapped_chest
1	noam464	90
2	thescout7	6
3	Blaiku	4
4	Incinere	2
4	eitanzaki	2
4	Malorn_Aetherius	2
4	bloodbiter	2
4	gcaisawesome	2
4	PigDab	2
4	Wowful	2
11	beeperbeeper5	1
11	TheSecondLord	1
11	The_Cruncy	1
11	EveryonesUncle	1
