rank	username	minecraft:dropped/minecraft:netherite_shovel
1	eitanzaki	45
2	Blaiku	19
3	beeperbeeper5	16
3	noam464	16
5	Mahoose	11
5	EcksD	11
5	PlasticOtari	11
8	fffMike	10
8	Ezekson	10
8	Smoke____	10
11	NomadicRobin_	9
12	kekhon	8
12	Hyp3rion_	8
12	Spacewardharpy7	8
15	Smashic	7
15	Chromary	7
15	lordpipe	7
15	Enderxz3	7
19	Blackberry1310	6
19	TheSecondLord	6
19	Di_infiri	6
19	thewindmillman	6
19	Fuad_R	6
19	MilleGrug	6
25	pintsizedrogue	5
25	EMC_	5
25	fade_emerge78823	5
25	Jackattack53	5
25	Akoot_	5
25	SkateboardR6	5
25	Kowcio_	5
25	RealGroot	5
25	gusstationwerker	5
25	obzii	5
35	Frozil20	4
35	Skylord_Luke	4
35	Werbe	4
35	Hermanni__	4
35	diggydog67	4
40	teslawolf38	3
40	Esme_1	3
40	ImpavidArcher	3
40	T045RTY	3
40	Huwulling	3
40	ITDV	3
40	joethahobo	3
40	Historical_Sand	3
40	Swexti	3
40	500am	3
40	set67	3
40	Kakolbus	3
40	Winklepicker279	3
40	Rebytre	3
40	LeGold	3
40	luseis	3
40	lillips	3
40	YungMaki	3
40	Iamthejo	3
40	CattSoup	3
60	NatalieTW	2
60	RoskobiOne	2
60	Cowison	2
60	CadenSteele	2
60	BlancoFlaco	2
60	ShedJr_	2
60	Lez_	2
60	Myszoaz	2
60	corvidpartyfor6	2
60	XboxPanda	2
60	King_Pancake1	2
60	ApophisNova	2
60	groofles	2
60	fw3xywashere	2
60	masskedman	2
60	OverallConcept	2
60	CatchmyGrenade28	2
60	fluddd	2
60	Racengan	2
60	LeEricc	2
60	non089	2
60	Eczbek	2
60	MyNamaSheff	2
60	MirielThePastor	2
60	2bolx_	2
60	Biites	2
86	MuffinManzz	1
86	ActivelyLogicalt	1
86	diamondgolem35	1
86	bigstankyy	1
86	gren_ben	1
86	ExtraDumb	1
86	Wooptey	1
86	RebelAndroid	1
86	SpaceGrenadier	1
86	Da_Boss_Rani	1
86	Crowman1	1
86	CliffEmAll	1
86	catandmoose	1
86	Fullut	1
86	4774	1
86	paranoid_plant	1
86	lorpus	1
86	Inchef	1
86	Xalithia	1
86	xxPipperDipperxx	1
86	r123moore	1
86	olliebollie48	1
86	HoltGrim	1
86	TheDankPlatypus	1
86	CollinMH06	1
86	Marbz_	1
86	Snowflowe	1
86	BronkerBrum	1
86	TheWildMateo	1
86	PigDab	1
86	FishyBoy3811	1
86	zToasty69z	1
86	Lord_Jord	1
86	NoChumpChange	1
86	EveryonesUncle	1
86	Deathkob	1
86	DarlaMeow	1
86	NameGenerat0r	1
86	weabis	1
86	501g	1
86	the__Reaper4999	1
86	THEKINGLyric10	1
86	Yahir091	1
86	mihimihimihi	1
86	WyngGoy	1
86	MakeHistory157	1
86	Eraxa	1
86	Mythic1130	1
86	tsitrawhy	1
86	jcool7	1
86	Steelynan	1
86	ZoomieZoomie	1
86	Quotary	1
86	AltnumberF4	1
86	HesDemonPants	1
86	jnp_gaming	1
86	Jimb0nat0r	1
86	xolstoi	1
