rank	username	minecraft:dropped/minecraft:spruce_fence
1	diamondgolem35	336
2	beeperbeeper5	298
3	eitanzaki	258
4	_Dean_123	227
5	HesDemonPants	223
6	Arceus1975	190
7	lordpipe	185
8	Ezekson	160
9	KingMatthew506	140
10	Kyrum2169	128
11	Eraxa	115
12	rarrq	113
13	chipklip	92
14	OtariCharlie	91
15	ApophisNova	86
15	MyNamaSheff	86
17	BlueZabu	81
18	Slapface522	78
19	Skylord_Luke	76
20	Inchef	75
21	Roikdean	70
22	kekhon	68
23	TheSecondLord	67
23	wTXop	67
25	Kakolbus	66
25	HellsSponge	66
27	jacxhadow	65
27	sammidk	65
29	Akoot_	62
30	PigDab	60
30	PortlyPete69	60
32	Drlzyy	59
32	H72l9w	59
34	CSG_Haru	57
35	set67	55
36	Unitas_isa	54
37	Comma__	53
37	TechnoNinja64	53
39	Blaiku	52
40	KarlKaek	50
41	stahouo	48
41	lcvezra	48
43	AuroraValkyrie	47
44	SUN_DREAM	46
45	SvenskaHugo	44
46	bigstankyy	42
46	Uzbeki_John	42
48	EfficientC52	41
49	SkateboardR6	40
50	El_Jalapeno	39
51	Blu3beast	38
52	Blackberry1310	37
53	fkGrim	36
54	RedcatVII	35
55	T045RTY	34
56	Mahoose	33
56	burbankbuilder28	33
58	Groovy_MoonBird	30
59	Xalithia	29
60	SquadMonster	28
60	Bumpy419	28
60	Xclax101	28
63	Hpdinosaur	27
63	WYFYoyo	27
65	noam464	25
66	Historical_Sand	24
66	EveryonesUncle	24
68	Soplight	22
69	TheOuterCore	21
69	Zoeyfortnite	21
71	Tommhh	20
71	Hyp3rion_	20
73	xxPipperDipperxx	19
73	RodSerlingCringe	19
73	Frozil12	19
76	JoCoLi	18
77	MyNameIsJobo	17
77	Werbe	17
77	rotten_mango	17
77	AssEatrAndLicker	17
81	oxfordschool	16
82	hm947	15
82	fluddd	15
84	Incinere	14
84	Malorn_Aetherius	14
84	SLASHZEERA	14
84	Jackattack53	14
88	ogoa	13
88	MysticalKitty139	13
90	Swexti	12
91	livingdaydreams	11
91	500am	11
91	slkiey	11
91	KermitTheKripple	11
91	Freak_Genius	11
96	Merv__	10
96	John6970	10
96	Shiirazuku	10
96	Ze_BaronKrigler	10
96	Kowcio_	10
96	EcksDofficial	10
102	I_Am_Mushkin	9
102	wrinkledpiglet	9
102	SammiWolfGirl	9
102	EcksD	9
106	Cryptacity	7
106	redikul	7
106	Di_infiri	7
106	Onennon	7
106	IAmTheWalrus910	7
106	CoryJJ	7
106	Quotary	7
106	Powowowow	7
114	Chromary	6
114	selectrix	6
114	OreoPenguin_	6
114	sebastiensaborio	6
114	Hermanni__	6
114	Smoke____	6
120	RebelAndroid	5
120	DirtyDalle	5
120	breadbowlgamer	5
120	MyNameIsDakar	5
120	Dusk_95	5
120	Razzgriz	5
120	pallow	5
120	CalebDHawk	5
128	CoffeeNoir	4
128	Kkanot	4
128	thescout7	4
128	TableTim	4
128	marumochis	4
128	Spacewardharpy7	4
128	ayamefag	4
128	Luigipunch989	4
128	anbbang	4
137	MunkaKris	3
137	TooManyDuck	3
137	awesomeoneme	3
137	Rich_Kat	3
137	Nyxiom_	3
137	pappaberg	3
137	silverpopcorn	3
137	cytotoxaint	3
137	OG_Songsee	3
137	obzii	3
137	_KuruKuru	3
137	Nicserso	3
149	Jovaphobic	2
149	lotarp	2
149	Myszoaz	2
149	GiantPoop100	2
149	SteveCraftBlocks	2
149	_Minnty_	2
149	egglapras	2
149	2Stout	2
149	domagawha	2
149	RobotMinion101	2
149	TheShyPig	2
149	FishyBoy3811	2
149	NomadicRobin_	2
149	_Bguette_	2
149	lillips	2
149	DarlaMeow	2
149	Quaintster	2
149	be3ry__	2
149	Nargotah	2
149	Dreamdbr14	2
149	Njensen7	2
149	MeetTheWollo	2
149	kinas45y5	2
149	Yogscast_Manden	2
149	trexgb	2
174	Louiis123	1
174	PhantomsGhost_	1
174	ItsColin11	1
174	q_wq	1
174	Wooptey	1
174	Natty	1
174	301851	1
174	Swalt	1
174	Euclidoris	1
174	roxycherry	1
174	ratglock	1
174	Guillemet	1
174	shyshyannne	1
174	CarbonatedCola	1
174	Fullut	1
174	Cambo5000	1
174	surfinggiraffejp	1
174	intropass	1
174	ROY4LE	1
174	TylerDupree	1
174	Kubelz	1
174	M_Patata	1
174	fr_ser	1
174	Rumpletaezer	1
174	WET_WET_WET	1
174	_Boipl_	1
174	seramalen	1
174	Drewen24	1
174	Leyna3	1
174	Deathkob	1
174	Meatlaugh	1
174	Karbl	1
174	JESS_THE_RERE	1
174	_Karmaa	1
174	claivin	1
174	ewpunk	1
174	cog	1
174	Racengan	1
174	MovingFish7	1
174	MasterNueve	1
174	WyngGoy	1
174	MakeHistory157	1
174	BreadBacon	1
174	Enderslayerxz3	1
174	YoshikageBites	1
174	h2p_emrld	1
