rank	username	minecraft:dropped/minecraft:mangrove_stairs
1	Yamdalorian	42
2	Kowcio_	32
3	hanaryheatwave	27
4	Spaghettatron	14
5	k_ce	12
6	Jimb0nat0r	5
7	PazinGaming	3
8	Mahoose	2
9	Soplight	1
9	Legendosh	1
