rank	username	minecraft:dropped/minecraft:red_sand
1	EcksD	6920
2	set67	1981
3	FreakGenius	1916
4	mariominejedi	1913
5	ConnorDanky_	1844
6	lordpipe	1727
7	Blaiku	1685
8	Manaateee	1600
9	thewindmillman	937
10	YungMaki	868
11	MilleGrug	845
12	TheBananaKat	825
13	TheKingK_	321
14	Frozil20	304
15	EMC_	295
16	skitzxo	205
17	kekhon	191
18	Jimb0nat0r	178
19	AspenLightVT	147
20	PortlyPete69	138
21	UrbanPlanningEx	129
22	Fullut	128
22	ItsDeltaMC	128
24	KingMatthew506	127
25	Inbefour	89
26	SvenskaHugo	72
27	Mahoose	66
28	pintsizedrogue	65
29	Lez_	64
29	RebytreGT	64
29	diggydog67	64
32	yheece	62
33	Deerfoot	61
33	pretty_pink_reno	61
35	hermmm_	53
35	Legendosh	53
37	Sral7	44
38	QuiCreans	38
39	KarlKaek	35
40	RebelAndroid	32
40	mwrty	32
40	Hyp3rion_	32
43	Arceus1975	30
44	joethahobo	28
45	eitanzaki	27
46	THEKINGLyric10	22
47	weabis	21
47	MovingFish7	21
49	Spacewardharpy7	20
50	SDMNAEK	19
50	Spenduh	19
52	SellyZ	18
53	Onennon	17
54	_TCARREIRA_	15
55	Xalithia	14
55	Kowcio_	14
57	Eraxa	12
58	Zippyzam	10
58	Parcc	10
58	Mattesco	10
61	annebolyn	9
62	beeperbeeper5	8
62	HellsSponge	8
64	PhantomsGhost_	6
64	CoffeeNoir	6
64	ROY4LE	6
64	Tyrannosplart	6
64	Skippeh	6
69	Groovy_MoonBird	5
69	T045RTY	5
69	yatsuta	5
72	noam464	4
72	Werbe	4
72	mafiKiwi	4
72	Xclax101	4
72	xzvu	4
72	SammiWolfGirl	4
72	Nicserso	4
72	JasmineGK	4
80	Apollo_993	3
80	ImpavidArcher	3
80	bmac2718	3
80	XxCookiequeenxX	3
84	_Virify_	2
84	_Huge_Male_	2
84	TooManyDuck	2
84	Swexti	2
84	rarrq	2
84	500am	2
84	fade_emerge78823	2
84	Rumpletaezer	2
84	selectrix	2
84	F_Uhre	2
84	txxskx	2
84	IamCL4SSY	2
84	_Karmaa	2
84	QueenShuvi	2
84	Soplight	2
84	h2p_emrld	2
100	chipklip	1
100	Merv__	1
100	titanlax	1
100	excelsionprime	1
100	Blammm	1
100	StylesK	1
100	Kakolbus	1
100	Di_infiri	1
100	Jackattack53	1
100	ApophisNova	1
100	Cruncy_	1
100	Moofyman	1
100	thgrocks	1
100	Lord_Jord	1
100	NomadicRobin_	1
100	the_russell1611	1
100	emreknugrlu	1
100	Blu3beast	1
100	iSammael	1
100	Ze_BaronKrigler	1
100	CalebDHawk	1
100	SprinklerMan	1
100	MyNamaSheff	1
100	Enderxz3	1
100	jnp_gaming	1
100	Powowowow	1
100	TheWickedBird	1
