rank	username	minecraft:dropped/minecraft:purple_carpet
1	HellsSponge	860
2	lordpipe	364
3	Spacewardharpy7	231
4	beeperbeeper5	146
5	lillips	128
6	AdmiralSmoke	53
7	TechnoNinja64	43
8	kekhon	40
9	EcksD	36
10	noam464	34
10	thewindmillman	34
12	KingMatthew506	31
13	ScootOfBoot	24
14	MakeHistory157	23
15	powercas_gamer	20
16	Legendosh	18
17	Kowcio_	16
18	Crowman1	15
19	Archsam	12
19	LoboTheLobster	12
21	thgrocks	11
22	lunathelemon	10
22	Soplight	10
24	Lez_	9
25	pintsizedrogue	8
25	ConnorDanky_	8
27	Mahoose	6
28	M_Patata	4
28	gustarlep	4
28	MasterNueve	4
31	burbankbuilder28	3
31	fkGrim	3
31	Quaintster	3
34	Jovaphobic	2
34	k_ce	2
34	nbbt	2
34	dopplexd	2
34	paranoid_plant	2
34	Dali1465	2
34	EveryonesUncle	2
34	Blaiku	2
42	Snowflowe	1
42	luseis	1
42	LexMakesHistory	1
42	MAns_44	1
42	Factoroni	1
42	Njensen7	1
42	Zoeyfortnite	1
