rank	username	minecraft:dropped/minecraft:mycelium
1	noam464	28339
2	Blaiku	22891
3	thewindmillman	5553
4	PigDab	4222
5	Di_infiri	2083
6	nocturne78	1766
7	OverallConcept	1637
8	lillips	1423
9	diamondgolem35	1024
10	gcaisawesome	919
11	eitanzaki	886
12	jnp_gaming	783
13	Jackattack53	247
14	Tyrannosplart	193
15	kekhon	192
16	Steelynan	109
17	FreakGenius	108
17	diggydog67	108
19	TechnoNinja64	95
20	TheShyPig	94
21	MightyWertu	70
22	Sral7	66
23	ApophisNova	55
23	MyNamaSheff	55
25	sxc_	53
26	Hyp3rion_	52
27	YungMaki	34
28	_Nuf	28
29	TheSecondLord	21
30	MinttyFressh	17
31	jcool7	16
32	Alteriity	13
33	500am	12
34	pintsizedrogue	7
35	Marbz_	6
36	Merv__	3
37	rarrq	1
37	Xclax101	1
37	Spacewardharpy7	1
