rank	username	minecraft:dropped/minecraft:crafting_table
1	thewindmillman	18884
2	EcksD	546
3	MilleGrug	528
4	noam464	136
5	eitanzaki	123
6	xzvu	120
7	lordpipe	111
8	kekhon	108
9	Mahoose	105
10	beeperbeeper5	87
11	Spacewardharpy7	83
12	Blaiku	53
13	0nly_sn1per	51
14	Frozil20	48
15	lillips	45
16	RealGroot	44
17	pintsizedrogue	31
17	Lez_	31
17	Hyp3rion_	31
17	Skylord_Luke	31
21	Nicky19	28
21	Wowful	28
23	Xclax101	26
23	Racengan	26
25	rarrq	25
26	FreakGenius	23
26	Kowcio_	23
28	Kakolbus	22
28	burbankbuilder28	22
30	Blackberry1310	20
30	Arceus1975	20
30	HellsSponge	20
33	Di_infiri	19
34	Uzbeki_John	18
35	Groovy_MoonBird	17
35	jnp_gaming	17
37	KingMatthew506	16
38	BlueZabu	14
38	Rebytre	14
38	Eraxa	14
38	Smoke____	14
42	Werbe	13
42	Cocoamallows	13
42	lcvezra	13
45	ImpavidArcher	12
45	xambsam	12
47	Tommhh	11
47	Fullut	11
47	Chromary	11
47	Tyrannosplart	11
47	MovingFish7	11
47	Razzgriz	11
47	Nicserso	11
47	Enderxz3	11
55	PigDab	10
55	fluddd	10
55	Hermanni__	10
55	cichy096	10
59	Flores991	9
59	thescout7	9
59	epiksk8erduck	9
59	Groundler	9
59	Dusk_95	9
59	Steelynan	9
59	Ezekson	9
59	TechnoNinja64	9
67	Jackattack53	8
67	Bumpy419	8
67	NameGenerat0r	8
67	El_Jalapeno	8
67	Blu3beast	8
67	Soplight	8
67	bladeefan2009	8
74	ProbablyNick	7
74	diamondgolem35	7
74	Incinere	7
74	joethahobo	7
74	Onennon	7
74	LeGold	7
74	IamCL4SSY	7
74	Akoot_	7
74	binman420	7
74	SvenskaHugo	7
74	YungMaki	7
74	PlzNoBM	7
74	xolstoi	7
87	Merv__	6
87	hm947	6
87	Cryptacity	6
87	TheSecondLord	6
87	mwrty	6
87	Inchef	6
87	TJawesome09	6
87	The_Skramz	6
87	weabis	6
87	gusstationwerker	6
87	vandmanden	6
98	I_Am_Mushkin	5
98	LeDuctTape	5
98	SaucyDark	5
98	TAKrules	5
98	ThiccExotic	5
98	ProfessorBee	5
98	500am	5
98	Diavri	5
98	ImDisconnected_	5
98	andy_rex	5
98	TheWildMateo	5
98	iElijah	5
98	EveryonesUncle	5
98	Ze_BaronKrigler	5
98	__tomato	5
98	SSytex_X	5
98	LeEricc	5
98	Njensen7	5
98	Vellu21	5
98	Skippeh	5
98	ConnorDanky_	5
119	Mr_Worthless	4
119	EMC_	4
119	T045RTY	4
119	SyntheticSurgeon	4
119	lotarp	4
119	gaziter10	4
119	dopplexd	4
119	set67	4
119	Masssonnn	4
119	lorpus	4
119	ROY4LE	4
119	gcaisawesome	4
119	Touched_Bread	4
119	fallingemma	4
119	AJplaysMC_	4
119	wTXop	4
119	LAVA129	4
119	AlexxO_o	4
119	groofles	4
119	NomadicRobin_	4
119	TheSeismicDuck	4
119	FreddyFart	4
119	Inbefour	4
119	JESS_THE_RERE	4
119	Fuad_R	4
119	WyngGoy	4
119	Nekomin0	4
119	Luigipunch989	4
119	PortlyPete69	4
119	fffMike	4
119	FGamerJ	4
119	HesDemonPants	4
151	_Virify_	3
151	SmashingPump	3
151	teslawolf38	3
151	q_wq	3
151	BlancoFlaco	3
151	livingdaydreams	3
151	stevewithclout	3
151	Swexti	3
151	Frxnkz	3
151	BobDeBouwer1337	3
151	mattybeewrapss	3
151	TheThomas69	3
151	Guillemet	3
151	_Nuf	3
151	TheDankPlatypus	3
151	M_Patata	3
151	TableTim	3
151	trixterrx	3
151	Marbz_	3
151	SuperPooch06	3
151	popcanter	3
151	LilyNova	3
151	curterr	3
151	738b4f65-6cbd-4ead-ba31-c14211abfb06	3
151	HyperCave	3
151	TheShyPig	3
151	masskedman	3
151	DTwenty	3
151	aldplaysmc	3
151	sufjanlover	3
151	DarkS0L	3
151	shrimp_flips	3
151	Quaintster	3
151	babyjimmyneutron	3
151	Mythic1130	3
151	Kukkelikuk	3
151	starbits140	3
151	ediballbearings	3
151	CalebDHawk	3
151	Sheldor097	3
151	Kubeusz2010	3
151	OfficerAnvil	3
151	UrbanPlanningEx	3
151	Jordan_R	3
195	Flamd	2
195	Bandito_Roamer	2
195	Tobinator_007	2
195	PhantomsGhost_	2
195	Cowison	2
195	CadenSteele	2
195	_stets	2
195	soundad	2
195	jspwn	2
195	gren_ben	2
195	Killercatty78	2
195	Tolhart	2
195	_Razaria	2
195	Wooptey	2
195	RebelAndroid	2
195	ShedJr_	2
195	EvenMina	2
195	SquadMonster	2
195	ccwildfire1	2
195	heckface	2
195	Vizzoid	2
195	Euclidoris	2
195	Malorn_Aetherius	2
195	Auseawesome	2
195	Jakobo1337	2
195	12Magner05	2
195	eclipseboi	2
195	SteveCraftBlocks	2
195	crying_wolf_13	2
195	Gingayy	2
195	Yirtle	2
195	NotMeanttoChange	2
195	surfinggiraffejp	2
195	SellyZ	2
195	2Stout	2
195	hcb238	2
195	r123moore	2
195	Matek_	2
195	Crasswolf	2
195	mariominejedi	2
195	SullyhS	2
195	gabriels543	2
195	MyNameIsJobo	2
195	WET_WET_WET	2
195	CrateOfBoxes	2
195	Hiryu27	2
195	CowOfTheNile	2
195	selectrix	2
195	ooga47	2
195	seramalen	2
195	Kynigito	2
195	Moofyman	2
195	BRRRN179	2
195	sammidk	2
195	ZA07	2
195	Luminad3	2
195	Leyna3	2
195	sxc_	2
195	SaintJosie	2
195	MrQuanQuan	2
195	fw3xywashere	2
195	ogoa	2
195	Blamphe	2
195	audiocracked	2
195	Lord_Zacler	2
195	Jiminbub	2
195	luseis	2
195	Deathkob	2
195	_Bguette_	2
195	Karbl	2
195	claivin	2
195	501g	2
195	RedcatVII	2
195	OffWithTheirHead	2
195	__Auspicious	2
195	Vegvisir	2
195	Toriankel	2
195	Warlord324	2
195	MentheMan09	2
195	Hisiste	2
195	mihimihimihi	2
195	MasterNueve	2
195	IAmTheWalrus910	2
195	jewishnoselong	2
195	layabout100	2
195	stavgod	2
195	airbkane	2
195	sadvavilloso	2
195	pixelviolin	2
195	AssFullaCum	2
195	Kyrum2169	2
195	underscore_2	2
195	MineMaster0012	2
195	djancak	2
195	SammiWolfGirl	2
195	Moetis	2
195	VentiHilton	2
195	amkold	2
195	MirielThePastor	2
195	2bolx_	2
195	Jimb0nat0r	2
195	PlasticOtari	2
195	Sral7	2
195	Northernrabbit	2
195	trexgb	2
195	JayToe	2
