rank	username	minecraft:dropped/minecraft:light_blue_wool
1	noam464	100263
2	Blaiku	2055
3	EcksD	1724
4	HellsSponge	1321
5	eitanzaki	1208
6	oxfordschool	609
7	thewindmillman	373
8	TechnoNinja64	335
9	Mahoose	323
10	DarlaMeow	256
11	Soplight	218
12	Blu3beast	194
13	Werbe	170
13	AssEatrAndLicker	170
15	Frozil12	157
16	sadvavilloso	141
17	mariominejedi	133
18	YungMaki	115
19	Eraxa	105
20	PigDab	94
21	beeperbeeper5	85
22	lordpipe	78
22	kinas45y5	78
24	NameGenerat0r	75
25	Maenara	69
26	SammiWolfGirl	66
27	PhantomsGhost_	65
27	Tjhodskins19	65
29	MeanTugger	64
29	Shogunite	64
31	mwrty	56
32	stahouo	51
33	joethahobo	47
34	Smoke____	46
35	KingMatthew506	41
36	rarrq	31
36	Di_infiri	31
38	Blackberry1310	27
38	lillips	27
40	InfernalMound	20
41	TheSecondLord	19
41	OtariCharlie	19
43	Rumpletaezer	16
43	Hermanni__	16
45	Dogcorn69420	15
46	_Dean_123	13
47	12Magner05	10
48	Xclax101	9
48	Ezekson	9
50	LAVA129	8
51	seanitoo	7
51	kekhon	7
51	chipklip	7
54	Sheldor097	6
55	dabloons	5
55	ShedJr_	5
57	Drlzyy	4
57	diamondgolem35	4
57	SaucyDark	4
57	Reamdin	4
57	EveryonesUncle	4
62	Chromary	3
62	Truckoss	3
62	jacobsoy	3
62	fluddd	3
62	Groundler	3
62	djancak	3
68	hm947	2
68	Bak3dPotater	2
68	Quaintster	2
71	JohnnyFyes	1
71	T045RTY	1
71	SteveCraftBlocks	1
71	r123moore	1
71	Arceus1975	1
71	Skylord_Luke	1
71	Akoot_	1
71	El_Jalapeno	1
71	Kyrum2169	1
71	Quotary	1
